,client_id,client_district_id,client_age,client_gender,disp_id,account_id,type,alltime_sum_trans_amount_by_account_id,alltime_mean_trans_amount_by_account_id,alltime_total_nbr_trans,mean_trans_amount_of_Household,mean_trans_amount_of_Insurance_payment,mean_trans_amount_of_Interest_credited,mean_trans_amount_of_Loan_payment,mean_trans_amount_of_Old-age_pension,mean_trans_amount_of_Payment_for_statement,mean_trans_amount_of_Sanction_interest_if_negative_balance,mean_trans_amount_of_Unknown_Transaction_Type,nbr_trans_Household,nbr_trans_Insurance_payment,nbr_trans_Interest_credited,nbr_trans_Loan_payment,nbr_trans_Old-age_pension,nbr_trans_Payment_for_statement,nbr_trans_Sanction_interest_if_negative_balance,nbr_trans_Unknown_Transaction_Type,mean_trans_amount_of_Credit,mean_trans_amount_of_Unknown_Transaction_Type,mean_trans_amount_of_Withdrawal,nbr_trans_Credit,nbr_trans_Unknown_Transaction_Type,nbr_trans_Withdrawal,1yr_sum_trans_amount_by_account_id,1yr_mean_trans_amount_by_account_id,1yr_total_nbr_trans,3yr_sum_trans_amount_by_account_id,3yr_mean_trans_amount_by_account_id,3yr_total_nbr_trans,trans_ratio_98_97,trans_ratio_97_96,sum_order_amount_by_account_id,mean_order_amount_by_account_id,total_nbr_orders,mean_order_amount_of_Household,mean_order_amount_of_Insurance_payment,mean_order_amount_of_Leasing,mean_order_amount_of_Loan_payment,mean_order_amount_of_Unknown_Order_Type,nbr_orders_Household,nbr_orders_Insurance_payment,nbr_orders_Leasing,nbr_orders_Loan_payment,nbr_orders_Unknown_Order_Type,account_district_id,statement_freq,account_date_opened,loan_id,loan_amount,loan_duration,monthly_loan_payment,loan_status,num_days_since_grant,card_id,card_type,card_issued_date,district_id,district_name,region,total_inhabitants,num_munipalities_less_499,500_to999,2000_to_9999,greater_than0000,num_cities,ratio_urban,avg_salary,unemp_rate_95,unemp_rate_96,enterpreneurs_per000,num_crimes95,num_crimes96
2518,753,72,58.30958904109588,F,753,626,DISPONENT,1043122.9999999987,2850.062841530052,366.0,3639.0,,131.78524590163937,,,14.600000000000017,,4306.4765625,57.0,,61.0,,,56.0,,192.0,3246.159036144577,,2521.302999999998,166.0,,200.0,220043.30000000005,2973.558108108109,74.0,684854.6999999994,3043.798666666664,225.0,0.8528777020244107,1.3911792031377976,3639.0,3639.0,1.0,3639.0,,,,,1.0,,,,,72,MONTHLY,314,,,,,,,,,,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208
2517,752,72,54.06849315068493,M,752,626,OWNER,1043122.9999999987,2850.062841530052,366.0,3639.0,,131.78524590163937,,,14.600000000000017,,4306.4765625,57.0,,61.0,,,56.0,,192.0,3246.159036144577,,2521.302999999998,166.0,,200.0,220043.30000000005,2973.558108108109,74.0,684854.6999999994,3043.798666666664,225.0,0.8528777020244107,1.3911792031377976,3639.0,3639.0,1.0,3639.0,,,,,1.0,,,,,72,MONTHLY,314,,,,,,,,,,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208
2766,3424,64,80.18630136986302,M,3424,2833,OWNER,341431.4999999999,1973.5924855491323,173.0,2970.0,,77.5138888888889,,4455.0,14.60000000000001,,2073.333333333333,35.0,,36.0,,40.0,35.0,,27.0,2355.72077922078,,1667.0937500000011,77.0,,96.0,100658.90000000002,1935.7480769230774,52.0,323211.49999999994,1923.8779761904761,168.0,0.8527654606729007,6.478496158068059,2970.0,2970.0,1.0,2970.0,,,,,1.0,,,,,64,MONTHLY,971,,,,,,,,,,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265
2661,459,32,31.46575342465753,F,459,379,OWNER,260910.20000000013,1052.0572580645164,248.0,1561.0,177.0,60.18064516129033,,,14.600000000000005,,1545.5401459854015,27.0,27.0,31.0,,,26.0,,137.0,1856.7918918918915,,709.8137931034488,74.0,,174.0,93902.40000000002,920.6117647058826,102.0,260910.20000000013,1052.0572580645164,248.0,0.8524771135263509,,2484.0,621.0,4.0,1561.0,177.0,,,373.0,1.0,1.0,,,2.0,32,MONTHLY,1233,,,,,,,,,,32,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340,4505
3630,3826,33,77.87123287671233,M,3826,3164,OWNER,714361.9999999992,2046.882521489969,349.0,2971.0,,84.92857142857143,,6154.0,14.600000000000017,,1432.178861788618,55.0,,56.0,,60.0,55.0,,123.0,3205.094017094018,,1462.7844827586202,117.0,,232.0,130115.70000000006,1942.0253731343287,67.0,426965.1999999998,2023.5317535545014,211.0,0.852394934201217,0.9537052425073564,3404.0,1702.0,2.0,1702.0,,,,,2.0,,,,,33,MONTHLY,357,,,,,,,,,,33,Decin,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
3631,3827,33,75.71232876712328,F,3827,3164,DISPONENT,714361.9999999992,2046.882521489969,349.0,2971.0,,84.92857142857143,,6154.0,14.600000000000017,,1432.178861788618,55.0,,56.0,,60.0,55.0,,123.0,3205.094017094018,,1462.7844827586202,117.0,,232.0,130115.70000000006,1942.0253731343287,67.0,426965.1999999998,2023.5317535545014,211.0,0.852394934201217,0.9537052425073564,3404.0,1702.0,2.0,1702.0,,,,,2.0,,,,,33,MONTHLY,357,,,,,,,,,,33,Decin,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
4099,1498,53,57.93150684931507,M,1498,1241,DISPONENT,403655.49999999977,1998.2945544554445,202.0,1368.0,227.0,72.65000000000002,,,14.600000000000005,,3785.694736842105,26.0,26.0,30.0,,,25.0,,95.0,2983.3499999999995,,1475.9166666666674,70.0,,132.0,150642.20000000007,1814.9662650602413,83.0,403655.49999999977,1998.2945544554445,202.0,0.8520558715147472,,3796.0,1265.3333333333333,3.0,1368.0,227.0,,,2201.0,1.0,1.0,,,1.0,53,MONTHLY,1278,,,,,,,,,,53,Blansko,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903
4098,1497,53,50.446575342465756,F,1497,1241,OWNER,403655.49999999977,1998.2945544554445,202.0,1368.0,227.0,72.65000000000002,,,14.600000000000005,,3785.694736842105,26.0,26.0,30.0,,,25.0,,95.0,2983.3499999999995,,1475.9166666666674,70.0,,132.0,150642.20000000007,1814.9662650602413,83.0,403655.49999999977,1998.2945544554445,202.0,0.8520558715147472,,3796.0,1265.3333333333333,3.0,1368.0,227.0,,,2201.0,1.0,1.0,,,1.0,53,MONTHLY,1278,,,,,,,,,,53,Blansko,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903
3083,202,29,22.126027397260273,F,202,167,OWNER,2755587.3,15568.289830508471,177.0,,,257.47083333333325,,,30.0,,20667.729323308267,,,24.0,,,20.0,,133.0,16897.14819277108,13213.176470588234,14655.844155844155,83.0,17.0,77.0,1251094.7,15257.252439024387,82.0,2755587.3,15568.289830508471,177.0,0.8519004521744152,,,,,,,,,,,,,,,29,WEEKLY,1151,,,,,,,30.0,classic,1734.0,29,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
233,1479,1,42.55616438356165,M,1479,1226,OWNER,338147.6,2705.1808,125.0,3826.0,,71.5,,,14.6,,4496.607142857143,22.0,,26.0,,,21.0,,56.0,3114.894736842105,,2361.7441176470597,57.0,,68.0,144593.1,2582.019642857143,56.0,338147.6,2705.1808,125.0,0.8514652260553726,,3826.0,3826.0,1.0,3826.0,,,,,1.0,,,,,1,MONTHLY,1391,,,,,,,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1484,972,46,81.71232876712328,M,972,810,DISPONENT,340464.6999999999,1840.3497297297288,185.0,2076.0,,77.3921052631579,,4798.0,14.600000000000007,,2004.8837209302328,33.0,,38.0,,38.0,33.0,,43.0,2408.635064935065,,1435.1833333333343,77.0,,108.0,104180.80000000002,1796.2206896551727,58.0,330636.09999999986,1836.8672222222215,180.0,0.8510703651209239,12.4546222249354,2076.0,2076.0,1.0,2076.0,,,,,1.0,,,,,46,MONTHLY,1044,,,,,,,,,,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
1483,971,46,80.05479452054793,F,971,810,OWNER,340464.6999999999,1840.3497297297288,185.0,2076.0,,77.3921052631579,,4798.0,14.600000000000007,,2004.8837209302328,33.0,,38.0,,38.0,33.0,,43.0,2408.635064935065,,1435.1833333333343,77.0,,108.0,104180.80000000002,1796.2206896551727,58.0,330636.09999999986,1836.8672222222215,180.0,0.8510703651209239,12.4546222249354,2076.0,2076.0,1.0,2076.0,,,,,1.0,,,,,46,MONTHLY,1044,,,,,,,,,,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
2046,13151,73,40.05479452054794,M,12843,10694,OWNER,1204236.6,6580.5278688524595,183.0,8690.0,1039.1304347826087,85.12881355932204,,,30.0,1.5,20013.96,20.0,23.0,59.0,,,27.0,4.0,50.0,7362.05411764706,2246.0,5940.371134020616,85.0,1.0,97.0,278248.1,4881.545614035087,57.0,1204236.6,6580.5278688524595,183.0,0.8506096153628634,,,,,,,,,,,,,,,73,WEEKLY,1230,,,,,,,,,,73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
1612,163,74,65.6,M,163,136,OWNER,374618.29999999976,2464.5940789473666,152.0,2932.0,,90.66785714285713,,6378.0,14.600000000000005,,2384.1463414634145,26.0,,28.0,,31.0,26.0,,41.0,3347.611666666666,,1888.7130434782612,60.0,,92.0,143021.40000000005,2200.329230769232,65.0,374618.29999999976,2464.5940789473666,152.0,0.8503136771812337,,2932.0,2932.0,1.0,2932.0,,,,,1.0,,,,,74,MONTHLY,1229,,,,,,,,,,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
4635,4328,59,22.567123287671233,F,4328,3586,OWNER,1893781.9000000013,5653.080298507468,335.0,,,168.06617647058818,,,14.600000000000017,,9268.073891625616,,,68.0,,,64.0,,203.0,7073.196428571428,,4633.509743589739,140.0,,195.0,301908.9,5296.647368421053,57.0,969346.3999999992,5507.649999999998,176.0,0.8502610272281097,1.0440016300493604,,,,,,,,,,,,,,59,MONTHLY,85,,,,,,,666.0,junior,1088.0,59,Kromeriz,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
1340,6474,76,64.13150684931507,M,6474,5362,DISPONENT,1566473.100000001,8158.714062500004,192.0,6413.0,,138.36785714285716,4226.300000000001,,30.0,,13271.049504950495,24.0,,28.0,16.0,,23.0,,101.0,12856.343548387098,12488.5,5600.393548387098,62.0,6.0,124.0,651240.7000000001,7752.865476190477,84.0,1566473.100000001,8158.714062500004,192.0,0.8501011128945176,,18601.3,6200.4333333333325,3.0,6413.0,,,4226.3,7962.0,1.0,,,1.0,1.0,76,WEEKLY,1344,6097.0,202848.0,48.0,4226.0,C,1693.0,,,,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
1339,6473,76,58.2931506849315,F,6473,5362,OWNER,1566473.100000001,8158.714062500004,192.0,6413.0,,138.36785714285716,4226.300000000001,,30.0,,13271.049504950495,24.0,,28.0,16.0,,23.0,,101.0,12856.343548387098,12488.5,5600.393548387098,62.0,6.0,124.0,651240.7000000001,7752.865476190477,84.0,1566473.100000001,8158.714062500004,192.0,0.8501011128945176,,18601.3,6200.4333333333325,3.0,6413.0,,,4226.3,7962.0,1.0,,,1.0,1.0,76,WEEKLY,1344,6097.0,202848.0,48.0,4226.0,C,1693.0,,,,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
3399,4061,8,20.035616438356165,M,4061,3359,OWNER,253646.30000000016,1595.259748427674,159.0,2038.0,,124.92758620689652,,,14.600000000000005,,2448.304878048781,24.0,,29.0,,,24.0,,82.0,2008.223943661972,,1262.072727272728,71.0,,88.0,101500.30000000002,1492.6514705882355,68.0,253646.30000000016,1595.259748427674,159.0,0.8493059559182224,,2038.0,2038.0,1.0,2038.0,,,,,1.0,,,,,8,MONTHLY,1306,,,,,,,631.0,junior,1985.0,8,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
4086,11372,11,37.284931506849325,M,11064,9236,OWNER,2070506.800000001,3690.7429590017855,561.0,2239.0,,190.45624999999995,7218.0,,14.600000000000017,,6040.764900662251,60.0,,128.0,12.0,,59.0,,302.0,4484.960493827163,,3083.840880503141,243.0,,318.0,392459.5999999999,3667.8467289719615,107.0,1252992.9000000004,3796.948181818183,330.0,0.8490650452938996,1.1910090240605544,11733.0,3911.0,3.0,2239.0,,,7218.0,2276.0,1.0,,,1.0,1.0,11,MONTHLY,229,6876.0,86616.0,12.0,7218.0,A,354.0,,,,11,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
495,3722,1,42.704109589041096,F,3722,3078,OWNER,423170.2999999997,1343.3977777777766,315.0,,,70.89016393442623,,,14.600000000000017,,2154.4845360824743,,,61.0,,,60.0,,194.0,1749.1677165354324,,1069.2872340425542,127.0,,188.0,74313.09999999999,1327.0196428571428,56.0,243751.20000000013,1339.2923076923082,182.0,0.8487697292753378,1.036269595630226,2232.0,2232.0,1.0,2232.0,,,,,1.0,,,,,1,MONTHLY,196,,,,,,,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
231,1472,1,31.331506849315076,F,1472,1219,OWNER,475245.8999999996,2897.8408536585343,164.0,3986.0,,103.66333333333333,,,14.600000000000005,,4435.361445783133,26.0,,30.0,,,25.0,,83.0,3337.665333333334,,2527.2022471910127,75.0,,89.0,181488.9,2835.7640625000013,64.0,475245.8999999996,2897.8408536585343,164.0,0.8486682808716705,,3986.0,3986.0,1.0,3986.0,,,,,1.0,,,,,1,MONTHLY,1254,,,,,,,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
3038,1862,50,21.24383561643836,F,1862,1536,OWNER,4318743.599999999,10114.153629976578,427.0,13204.0,,176.3042253521127,,,30.0,,15324.919642857143,66.0,,71.0,,,66.0,,224.0,12757.073255813953,13573.8,7497.472727272727,172.0,35.0,220.0,695004.5000000001,9652.84027777778,72.0,2337312.0,9946.008510638298,235.0,0.8482314975973236,1.142588384061996,13204.0,13204.0,1.0,13204.0,,,,,1.0,,,,,41,WEEKLY,21,,,,,,,,,,50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
2058,1485,7,20.649315068493152,M,1485,1231,OWNER,2193012.3000000017,6706.459633027529,327.0,3485.0,,152.77796610169491,,,14.600000000000017,,12468.875,54.0,,59.0,,,54.0,,160.0,9403.115833333328,,5143.180676328499,120.0,,207.0,413326.1,6775.8377049180335,61.0,1365726.7999999996,6597.714009661833,207.0,0.8479052851339979,1.1107206428803842,4150.0,2075.0,2.0,3485.0,,665.0,,,1.0,,1.0,,,7,MONTHLY,382,,,,,,,,,,7,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
2059,1486,7,24.31780821917809,F,1486,1231,DISPONENT,2193012.3000000017,6706.459633027529,327.0,3485.0,,152.77796610169491,,,14.600000000000017,,12468.875,54.0,,59.0,,,54.0,,160.0,9403.115833333328,,5143.180676328499,120.0,,207.0,413326.1,6775.8377049180335,61.0,1365726.7999999996,6597.714009661833,207.0,0.8479052851339979,1.1107206428803842,4150.0,2075.0,2.0,3485.0,,665.0,,,1.0,,1.0,,,7,MONTHLY,382,,,,,,,,,,7,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
1786,555,30,72.24657534246576,M,555,461,DISPONENT,843300.6999999989,2140.3571065989818,394.0,1530.0,,164.5029850746269,,6388.0,14.600000000000017,,2247.5396825396824,66.0,,67.0,,70.0,65.0,,126.0,3324.5050724637676,,1502.0273437499984,138.0,,256.0,130503.2,2071.4793650793654,63.0,439115.9999999997,2121.333333333332,207.0,0.8473584491577916,1.0262732476394192,1530.0,1530.0,1.0,1530.0,,,,,1.0,,,,,30,MONTHLY,48,,,,,,,,,,30,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
1785,554,30,73.75342465753424,F,554,461,OWNER,843300.6999999989,2140.3571065989818,394.0,1530.0,,164.5029850746269,,6388.0,14.600000000000017,,2247.5396825396824,66.0,,67.0,,70.0,65.0,,126.0,3324.5050724637676,,1502.0273437499984,138.0,,256.0,130503.2,2071.4793650793654,63.0,439115.9999999997,2121.333333333332,207.0,0.8473584491577916,1.0262732476394192,1530.0,1530.0,1.0,1530.0,,,,,1.0,,,,,30,MONTHLY,48,,,,,,,,,,30,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
1238,3979,54,70.26301369863013,F,3979,3288,OWNER,550347.5999999995,2124.8942084942064,259.0,2471.0,,91.78723404255315,,5476.0,14.600000000000012,,2208.985507246377,46.0,,47.0,,51.0,46.0,,69.0,2871.616161616162,,1662.8600000000006,99.0,,160.0,127799.80000000002,2095.0786885245902,61.0,409385.29999999976,2078.097969543146,197.0,0.8471186982191256,1.218273935412079,2471.0,2471.0,1.0,2471.0,,,,,1.0,,,,,54,MONTHLY,622,,,,,,,,,,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696
1244,4344,54,73.59726027397261,M,4344,3601,OWNER,461605.19999999966,2137.0611111111098,216.0,1794.0,,151.1315789473684,,5827.0,14.60000000000001,,2325.967741935484,37.0,,38.0,,42.0,37.0,,62.0,3100.9506172839515,,1558.7274074074085,81.0,,135.0,135741.2,2025.9880597014926,67.0,421389.5999999999,2086.0871287128707,202.0,0.8469913167622178,3.985090362943735,1794.0,1794.0,1.0,1794.0,,,,,1.0,,,,,54,MONTHLY,893,,,,,,,,,,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696
1957,3276,52,18.794520547945204,M,3276,2714,OWNER,1015479.6999999988,2812.9631578947333,361.0,,,115.04999999999997,,,14.600000000000017,,4493.071428571428,,,70.0,,,67.0,,224.0,2986.713872832371,,2653.075531914891,173.0,,188.0,153447.60000000006,2692.0631578947377,57.0,564026.2999999996,3000.139893617019,188.0,0.8466896647619302,0.9957621740656916,,,,,,,,,,,,,,1,MONTHLY,29,,,,,,,,,,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
181,1040,1,38.56712328767123,M,1040,863,OWNER,5897550.699999994,12011.304887983692,491.0,6087.0,,259.34852941176473,,,14.600000000000017,,18757.616438356166,66.0,,68.0,,,65.0,,292.0,15264.834358974364,12777.139534883721,9373.482213438747,195.0,43.0,253.0,722350.2999999998,8399.422093023253,86.0,3370838.5000000037,12302.330291970813,274.0,0.8457120304608404,0.7816268802000654,10520.3,5260.15,2.0,6087.0,,4433.3,,,1.0,,1.0,,,71,MONTHLY,135,,,,,,,175.0,classic,1463.0,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
