,client_id,client_district_id,client_age,client_gender,disp_id,account_id,type,alltime_sum_trans_amount_by_account_id,alltime_mean_trans_amount_by_account_id,alltime_total_nbr_trans,mean_trans_amount_of_Household,mean_trans_amount_of_Insurance_payment,mean_trans_amount_of_Interest_credited,mean_trans_amount_of_Loan_payment,mean_trans_amount_of_Old-age_pension,mean_trans_amount_of_Payment_for_statement,mean_trans_amount_of_Sanction_interest_if_negative_balance,mean_trans_amount_of_Unknown_Transaction_Type,nbr_trans_Household,nbr_trans_Insurance_payment,nbr_trans_Interest_credited,nbr_trans_Loan_payment,nbr_trans_Old-age_pension,nbr_trans_Payment_for_statement,nbr_trans_Sanction_interest_if_negative_balance,nbr_trans_Unknown_Transaction_Type,mean_trans_amount_of_Credit,mean_trans_amount_of_Unknown_Transaction_Type,mean_trans_amount_of_Withdrawal,nbr_trans_Credit,nbr_trans_Unknown_Transaction_Type,nbr_trans_Withdrawal,1yr_sum_trans_amount_by_account_id,1yr_mean_trans_amount_by_account_id,1yr_total_nbr_trans,3yr_sum_trans_amount_by_account_id,3yr_mean_trans_amount_by_account_id,3yr_total_nbr_trans,trans_ratio_98_97,trans_ratio_97_96,sum_order_amount_by_account_id,mean_order_amount_by_account_id,total_nbr_orders,mean_order_amount_of_Household,mean_order_amount_of_Insurance_payment,mean_order_amount_of_Leasing,mean_order_amount_of_Loan_payment,mean_order_amount_of_Unknown_Order_Type,nbr_orders_Household,nbr_orders_Insurance_payment,nbr_orders_Leasing,nbr_orders_Loan_payment,nbr_orders_Unknown_Order_Type,account_district_id,statement_freq,account_date_opened,loan_id,loan_amount,loan_duration,monthly_loan_payment,loan_status,num_days_since_grant,card_id,card_type,card_issued_date,district_id,district_name,region,total_inhabitants,num_munipalities_less_499,500_to999,2000_to_9999,greater_than0000,num_cities,ratio_urban,avg_salary,unemp_rate_95,unemp_rate_96,enterpreneurs_per000,num_crimes95,num_crimes96
2407,2947,19,41.652054794520545,F,2947,2440,OWNER,562063.1,8265.633823529412,68.0,6219.0,1230.0,146.74166666666667,,,14.599999999999998,,14515.914285714285,7.0,7.0,12.0,,,7.0,,35.0,12431.636,,5843.539534883722,25.0,,43.0,560963.1,8372.583582089552,67.0,562063.1,8265.633823529412,68.0,509.9664545454545,,8110.0,2703.333333333333,3.0,6219.0,1230.0,,,661.0,1.0,1.0,,,1.0,19,MONTHLY,1812,,,,,,,,,,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
11,1410,18,54.94794520547945,M,1410,1171,OWNER,397039.5,7352.583333333332,54.0,7893.0,,140.10833333333335,,,14.599999999999998,,12300.444444444443,8.0,,12.0,,,7.0,,27.0,8327.159259259259,,6378.007407407408,27.0,,27.0,396239.5,7476.2169811320755,53.0,397039.5,7352.583333333332,54.0,495.299375,,7893.0,7893.0,1.0,7893.0,,,,,1.0,,,,,18,MONTHLY,1814,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
12,1411,18,59.446575342465756,F,1411,1171,DISPONENT,397039.5,7352.583333333332,54.0,7893.0,,140.10833333333335,,,14.599999999999998,,12300.444444444443,8.0,,12.0,,,7.0,,27.0,8327.159259259259,,6378.007407407408,27.0,,27.0,396239.5,7476.2169811320755,53.0,397039.5,7352.583333333332,54.0,495.299375,,7893.0,7893.0,1.0,7893.0,,,,,1.0,,,,,18,MONTHLY,1814,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
4214,1417,27,32.15890410958904,F,1417,1177,OWNER,501452.0999999999,7374.295588235293,68.0,541.0,,121.90833333333336,,,14.599999999999998,,12086.804878048779,8.0,,12.0,,,7.0,,41.0,10402.65,,5499.600000000001,26.0,,42.0,500352.0999999999,7467.941791044775,67.0,501452.0999999999,7374.295588235293,68.0,454.8655454545454,,10346.0,3448.666666666666,3.0,541.0,,,6306.0,3499.0,1.0,,,1.0,1.0,27,MONTHLY,1814,,,,,,,,,,27,Plzen - jih,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127
729,677,5,35.63287671232877,M,677,564,OWNER,466326.4,7644.695081967213,61.0,295.0,,135.38181818181818,,,14.599999999999998,,12851.944444444443,7.0,,11.0,,,7.0,,36.0,10390.341666666667,,5863.735135135135,24.0,,37.0,465226.4,7753.773333333333,60.0,466326.4,7644.695081967213,61.0,422.9330909090909,,9008.0,4504.0,2.0,295.0,,,,8713.0,1.0,,,,1.0,5,MONTHLY,1817,,,,,,,,,,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
2132,3409,36,79.8027397260274,M,3409,2820,OWNER,104200.60000000002,1929.6407407407407,54.0,1645.0,,79.23999999999998,,5175.0,14.599999999999998,,1649.764705882353,8.0,,10.0,,12.0,7.0,,17.0,2747.4956521739136,,1322.8451612903225,23.0,,31.0,103900.60000000002,1960.388679245284,53.0,104200.60000000002,1929.6407407407407,54.0,346.3353333333334,,2967.0,1483.5,2.0,1483.5,,,,,2.0,,,,,36,MONTHLY,1805,,,,,,,,,,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
1155,843,54,41.35616438356164,F,843,703,OWNER,103796.70000000004,1887.212727272728,55.0,2306.0,,119.54166666666669,,,14.599999999999998,,2969.586206896552,7.0,,12.0,,,7.0,,29.0,2243.306451612904,,1427.2583333333332,31.0,,24.0,103496.70000000004,1916.605555555556,54.0,103796.70000000004,1887.212727272728,55.0,344.98900000000015,,2306.0,2306.0,1.0,2306.0,,,,,1.0,,,,,54,MONTHLY,1815,,,,,,,,,,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696
1557,1071,43,73.98356164383561,M,1071,889,OWNER,96433.2,1968.0244897959185,49.0,1292.0,,97.875,,4976.0,14.599999999999998,,1821.428571428572,8.0,,8.0,,12.0,7.0,,14.0,2895.0000000000005,,1272.792857142857,21.0,,28.0,96133.2,2002.775,48.0,96433.2,1968.0244897959185,49.0,320.444,,3257.0,1628.5,2.0,1628.5,,,,,2.0,,,,,43,MONTHLY,1816,,,,,,,,,,43,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
2252,4129,75,46.786301369863004,F,4129,3415,OWNER,204037.9,3400.6316666666667,60.0,4178.0,,127.30833333333334,,,14.599999999999998,,5120.727272727273,8.0,,12.0,,,7.0,,33.0,3634.740625,,3133.0785714285716,32.0,,28.0,203337.9,3446.4050847457625,59.0,204037.9,3400.6316666666667,60.0,290.4827142857143,,4178.0,4178.0,1.0,4178.0,,,,,1.0,,,,,75,MONTHLY,1800,,,,,,,,,,75,Prerov,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505
2707,4717,32,54.43287671232878,M,4717,3911,OWNER,53932.3,1348.3075,40.0,,,59.0125,,,14.599999999999998,,2134.32,,,8.0,,,7.0,,25.0,1700.5761904761907,,958.9578947368424,21.0,,19.0,53732.3,1377.751282051282,39.0,53932.3,1348.3075,40.0,268.6615,,1946.0,1946.0,1.0,1946.0,,,,,1.0,,,,,32,MONTHLY,1810,,,,,,,,,,32,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340,4505
4288,3838,65,69.22739726027397,M,3838,3174,OWNER,98321.3,2398.080487804878,41.0,2859.0,,101.3875,,5098.0,14.599999999999998,,2226.6666666666665,8.0,,8.0,,12.0,7.0,,6.0,2970.8142857142852,,1796.7099999999994,21.0,,20.0,97921.3,2448.0325000000007,40.0,98321.3,2398.080487804878,41.0,244.80325,,2859.0,2859.0,1.0,2859.0,,,,,1.0,,,,,65,MONTHLY,1804,,,,,,,,,,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
4289,3839,65,61.534246575342465,F,3839,3174,DISPONENT,98321.3,2398.080487804878,41.0,2859.0,,101.3875,,5098.0,14.599999999999998,,2226.6666666666665,8.0,,8.0,,12.0,7.0,,6.0,2970.8142857142852,,1796.7099999999994,21.0,,20.0,97921.3,2448.0325000000007,40.0,98321.3,2398.080487804878,41.0,244.80325,,2859.0,2859.0,1.0,2859.0,,,,,1.0,,,,,65,MONTHLY,1804,,,,,,,,,,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
549,4093,1,52.2931506849315,M,4093,3385,OWNER,144493.10000000006,2491.260344827587,58.0,3454.0,,142.075,,,14.599999999999998,,3711.4193548387098,8.0,,12.0,,,7.0,,31.0,2862.3909090909087,,2001.368,33.0,,25.0,143893.10000000006,2524.440350877193,57.0,144493.10000000006,2491.260344827587,58.0,239.8218333333334,,3454.0,3454.0,1.0,3454.0,,,,,1.0,,,,,1,MONTHLY,1815,,,,,,,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2767,3495,64,57.68493150684932,F,3495,2892,OWNER,40700.0,3130.769230769231,13.0,,,,,,,,3130.769230769231,,,,,,,,13.0,3275.0,,1400.0,12.0,,1.0,40500.0,3375.0,12.0,40700.0,3130.769230769231,13.0,202.5,,,,,,,,,,,,,,,64,MONTHLY,1810,,,,,,,,,,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265
2768,3496,64,49.509589041095886,M,3496,2892,DISPONENT,40700.0,3130.769230769231,13.0,,,,,,,,3130.769230769231,,,,,,,,13.0,3275.0,,1400.0,12.0,,1.0,40500.0,3375.0,12.0,40700.0,3130.769230769231,13.0,202.5,,,,,,,,,,,,,,,64,MONTHLY,1810,,,,,,,,,,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265
3161,1130,70,58.13698630136986,F,1130,938,OWNER,141869.6,2251.8984126984133,63.0,3282.0,,124.78333333333336,371.0,,14.599999999999998,,3823.3,7.0,,12.0,7.0,,7.0,,30.0,2767.6258064516132,,1752.2875,31.0,,32.0,141169.6,2276.929032258065,62.0,141869.6,2251.8984126984133,63.0,201.67085714285716,,3653.0,1826.5,2.0,3282.0,,,371.0,,1.0,,,1.0,,70,MONTHLY,1807,5147.0,22260.0,60.0,371.0,C,1966.0,,,,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
4194,4744,6,69.08493150684932,M,4744,3934,OWNER,134774.2,2994.9822222222224,45.0,2396.0,,95.0,,6362.0,14.599999999999998,,3840.0,8.0,,8.0,,12.0,7.0,,10.0,3704.95238095238,,2373.758333333333,21.0,,24.0,134074.2,3047.1409090909087,44.0,134774.2,2994.9822222222224,45.0,191.53457142857144,,2396.0,2396.0,1.0,2396.0,,,,,1.0,,,,,6,MONTHLY,1817,,,,,,,,,,6,Kutna Hora,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120
140,697,1,24.68767123287672,M,697,579,OWNER,163127.70000000007,2631.091935483872,62.0,2771.0,,91.20833333333331,,,14.599999999999998,,3959.277777777778,7.0,,12.0,,,7.0,,36.0,3300.293103448276,,2043.0060606060601,29.0,,33.0,162227.70000000007,2659.4704918032794,61.0,163127.70000000007,2631.091935483872,62.0,180.25300000000004,,3836.0,1918.0,2.0,2771.0,,,,1065.0,1.0,,,,1.0,1,MONTHLY,1810,,,,,,,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
5027,3654,25,74.8876712328767,F,3654,3025,OWNER,139994.00000000006,2692.192307692308,52.0,3354.0,,75.98,,6367.0,14.599999999999998,,2453.125,7.0,,10.0,,12.0,7.0,,16.0,3389.730434782608,,2138.972413793103,23.0,,29.0,139194.00000000006,2729.2941176470595,51.0,139994.00000000006,2692.192307692308,52.0,173.99250000000004,,3354.0,3354.0,1.0,3354.0,,,,,1.0,,,,,25,MONTHLY,1821,,,,,,,,,,25,Klatovy,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218
533,3966,1,29.254794520547943,F,3966,3276,DISPONENT,168619.80000000002,2443.7652173913048,69.0,1722.0,1017.0,119.55,,,14.599999999999998,,4269.735294117647,8.0,8.0,12.0,,,7.0,,34.0,3202.2303030303033,,1748.505555555555,33.0,,36.0,167619.80000000002,2464.997058823529,68.0,168619.80000000002,2443.7652173913048,69.0,167.61980000000003,,3668.0,1222.6666666666667,3.0,1722.0,1017.0,,,929.0,1.0,1.0,,,1.0,1,MONTHLY,1823,,,,,,,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
532,3965,1,35.654794520547945,M,3965,3276,OWNER,168619.80000000002,2443.7652173913048,69.0,1722.0,1017.0,119.55,,,14.599999999999998,,4269.735294117647,8.0,8.0,12.0,,,7.0,,34.0,3202.2303030303033,,1748.505555555555,33.0,,36.0,167619.80000000002,2464.997058823529,68.0,168619.80000000002,2443.7652173913048,69.0,167.61980000000003,,3668.0,1222.6666666666667,3.0,1722.0,1017.0,,,929.0,1.0,1.0,,,1.0,1,MONTHLY,1823,,,,,,,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4626,3853,59,18.506849315068493,F,3853,3187,OWNER,71360.90000000001,1372.3250000000005,52.0,,,57.50833333333333,,,14.599999999999998,,2204.8125,,,12.0,,,8.0,,32.0,1248.355882352941,,1606.4888888888886,34.0,,18.0,70860.90000000001,1389.4294117647062,51.0,71360.90000000001,1372.3250000000005,52.0,141.72180000000003,,,,,,,,,,,,,,,59,MONTHLY,1814,,,,,,,,,,59,Kromeriz,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
4258,297,65,74.84931506849315,F,297,246,OWNER,92916.3,2019.9195652173914,46.0,1970.0,,53.21,,4486.0,14.599999999999998,,2466.0,7.0,,10.0,,12.0,7.0,,10.0,2394.091304347827,,1645.747826086956,23.0,,23.0,92216.3,2049.251111111111,45.0,92916.3,2019.9195652173914,46.0,131.73757142857144,,1970.0,1970.0,1.0,1970.0,,,,,1.0,,,,,65,MONTHLY,1814,,,,,,,,,,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
4259,298,65,77.6054794520548,M,298,246,DISPONENT,92916.3,2019.9195652173914,46.0,1970.0,,53.21,,4486.0,14.599999999999998,,2466.0,7.0,,10.0,,12.0,7.0,,10.0,2394.091304347827,,1645.747826086956,23.0,,23.0,92216.3,2049.251111111111,45.0,92916.3,2019.9195652173914,46.0,131.73757142857144,,1970.0,1970.0,1.0,1970.0,,,,,1.0,,,,,65,MONTHLY,1814,,,,,,,,,,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
218,1350,1,39.706849315068496,M,1350,1125,OWNER,1418629.7,11821.914166666666,120.0,11827.0,1.0,191.14166666666665,,,30.0,,16920.105263157893,11.0,11.0,12.0,,,10.0,,76.0,17033.039534883723,13047.875,8432.260869565218,43.0,8.0,69.0,1407229.7,11925.675423728811,118.0,1418629.7,11821.914166666666,120.0,123.44120175438593,,19961.0,4990.25,4.0,11827.0,1.0,,7895.0,238.0,1.0,1.0,,1.0,1.0,1,WEEKLY,1785,,,,,,,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
219,1351,1,47.3041095890411,F,1351,1125,DISPONENT,1418629.7,11821.914166666666,120.0,11827.0,1.0,191.14166666666665,,,30.0,,16920.105263157893,11.0,11.0,12.0,,,10.0,,76.0,17033.039534883723,13047.875,8432.260869565218,43.0,8.0,69.0,1407229.7,11925.675423728811,118.0,1418629.7,11821.914166666666,120.0,123.44120175438593,,19961.0,4990.25,4.0,11827.0,1.0,,7895.0,238.0,1.0,1.0,,1.0,1.0,1,WEEKLY,1785,,,,,,,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
