,client_id,client_district_id,client_age,client_gender,disp_id,account_id,type,alltime_sum_trans_amount_by_account_id,alltime_mean_trans_amount_by_account_id,alltime_total_nbr_trans,mean_trans_amount_of_Household,mean_trans_amount_of_Insurance_payment,mean_trans_amount_of_Interest_credited,mean_trans_amount_of_Loan_payment,mean_trans_amount_of_Old-age_pension,mean_trans_amount_of_Payment_for_statement,mean_trans_amount_of_Sanction_interest_if_negative_balance,mean_trans_amount_of_Unknown_Transaction_Type,nbr_trans_Household,nbr_trans_Insurance_payment,nbr_trans_Interest_credited,nbr_trans_Loan_payment,nbr_trans_Old-age_pension,nbr_trans_Payment_for_statement,nbr_trans_Sanction_interest_if_negative_balance,nbr_trans_Unknown_Transaction_Type,mean_trans_amount_of_Credit,mean_trans_amount_of_Unknown_Transaction_Type,mean_trans_amount_of_Withdrawal,nbr_trans_Credit,nbr_trans_Unknown_Transaction_Type,nbr_trans_Withdrawal,1yr_sum_trans_amount_by_account_id,1yr_mean_trans_amount_by_account_id,1yr_total_nbr_trans,3yr_sum_trans_amount_by_account_id,3yr_mean_trans_amount_by_account_id,3yr_total_nbr_trans,trans_ratio_98_97,trans_ratio_97_96,sum_order_amount_by_account_id,mean_order_amount_by_account_id,total_nbr_orders,mean_order_amount_of_Household,mean_order_amount_of_Insurance_payment,mean_order_amount_of_Leasing,mean_order_amount_of_Loan_payment,mean_order_amount_of_Unknown_Order_Type,nbr_orders_Household,nbr_orders_Insurance_payment,nbr_orders_Leasing,nbr_orders_Loan_payment,nbr_orders_Unknown_Order_Type,account_district_id,statement_freq,account_date_opened,loan_id,loan_amount,loan_duration,monthly_loan_payment,loan_status,num_days_since_grant,card_id,card_type,card_issued_date,district_id,district_name,region,total_inhabitants,num_munipalities_less_499,500_to_1999,2000_to_9999,greater_than_10000,num_cities,ratio_urban,avg_salary,unemp_rate_95,unemp_rate_96,enterpreneurs_per_1000,num_crimes95,num_crimes96
18,2140,18,72.25479452054795,M,2140,1765,DISPONENT,288398.90000000014,2074.812230215828,139.0,2011.0,,67.90384615384616,,5242.0,14.600000000000005,,2399.714285714286,25.0,,26.0,,29.0,24.0,,35.0,2753.2767857142867,,1617.0530120481933,56.0,,83.0,119099.40000000002,1952.4491803278693,61.0,288398.90000000014,2074.812230215828,139.0,0.878702317616705,,2011.0,2011.0,1.0,2011.0,,,,,1.0,,,,,18,MONTHLY,1297,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
19,2176,18,52.49863013698629,M,2176,1796,OWNER,1622883.4000000006,6389.3047244094505,254.0,1809.0,,194.96315789473684,,,14.600000000000007,,10426.087248322148,34.0,,38.0,,,33.0,,149.0,10886.020779220777,,4433.106214689263,77.0,,177.0,534711.3999999999,6365.611904761904,84.0,1557247.6000000006,6304.646153846156,247.0,1.034984918808548,7.871266900075871,3037.0,1518.5,2.0,1809.0,,,,1228.0,1.0,,,,1.0,18,MONTHLY,1016,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
20,2329,18,26.013698630136986,M,2329,1919,OWNER,2655956.9000000027,7975.846546546552,333.0,4545.0,,334.0408163265306,,,14.600000000000012,,12443.706632653062,44.0,,49.0,,,44.0,,196.0,12561.859090909093,,5713.687892376681,110.0,,223.0,769244.4999999999,8183.4521276595715,94.0,2010825.1000000015,7616.761742424249,264.0,1.2158043205655975,1.0401272408946314,4887.0,2443.5,2.0,4545.0,,,,342.0,1.0,,,,1.0,18,MONTHLY,702,,,,,,,364.0,classic,1154.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
21,2517,18,74.36164383561643,M,2517,2076,OWNER,323562.1,2114.7849673202613,153.0,382.0,,84.24583333333331,,6179.0,14.6,,2554.3859649122805,23.0,,24.0,,27.0,22.0,,57.0,3262.594230769229,,1523.8336633663373,52.0,,101.0,157168.80000000002,1989.4784810126584,79.0,323562.1,2114.7849673202613,153.0,1.0687661800276491,,2052.0,1026.0,2.0,1026.0,,,,,2.0,,,,,18,MONTHLY,1355,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
22,2518,18,77.7068493150685,F,2518,2076,DISPONENT,323562.1,2114.7849673202613,153.0,382.0,,84.24583333333331,,6179.0,14.6,,2554.3859649122805,23.0,,24.0,,27.0,22.0,,57.0,3262.594230769229,,1523.8336633663373,52.0,,101.0,157168.80000000002,1989.4784810126584,79.0,323562.1,2114.7849673202613,153.0,1.0687661800276491,,2052.0,1026.0,2.0,1026.0,,,,,2.0,,,,,18,MONTHLY,1355,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
23,2631,18,28.635616438356166,M,2631,2174,OWNER,421790.3999999999,7810.9333333333325,54.0,4367.0,,171.15,,,14.6,,13114.9,6.0,,12.0,,,6.0,,30.0,9346.658333333336,3481.0,6689.296551724139,24.0,1.0,29.0,402390.3999999999,7890.007843137253,51.0,421790.3999999999,7810.9333333333325,54.0,20.741773195876284,,4367.0,4367.0,1.0,4367.0,,,,,1.0,,,,,18,MONTHLY,1757,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
24,2632,18,35.87397260273973,F,2632,2174,DISPONENT,421790.3999999999,7810.9333333333325,54.0,4367.0,,171.15,,,14.6,,13114.9,6.0,,12.0,,,6.0,,30.0,9346.658333333336,3481.0,6689.296551724139,24.0,1.0,29.0,402390.3999999999,7890.007843137253,51.0,421790.3999999999,7810.9333333333325,54.0,20.741773195876284,,4367.0,4367.0,1.0,4367.0,,,,,1.0,,,,,18,MONTHLY,1757,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
25,2794,18,33.964383561643835,M,2794,2309,OWNER,1338472.0000000002,6593.45812807882,203.0,8604.0,,127.80540540540545,,,14.600000000000007,,10389.544554455446,33.0,,37.0,,,32.0,,101.0,9026.747368421053,,5137.316535433069,76.0,,127.0,434399.29999999993,6388.2249999999985,68.0,1312650.8000000005,6563.254000000003,200.0,0.9763984953009625,17.23001254782891,8604.0,8604.0,1.0,8604.0,,,,,1.0,,,,,18,MONTHLY,1066,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
26,2795,18,30.73972602739726,F,2795,2309,DISPONENT,1338472.0000000002,6593.45812807882,203.0,8604.0,,127.80540540540545,,,14.600000000000007,,10389.544554455446,33.0,,37.0,,,32.0,,101.0,9026.747368421053,,5137.316535433069,76.0,,127.0,434399.29999999993,6388.2249999999985,68.0,1312650.8000000005,6563.254000000003,200.0,0.9763984953009625,17.23001254782891,8604.0,8604.0,1.0,8604.0,,,,,1.0,,,,,18,MONTHLY,1066,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
27,2841,18,25.745205479452054,F,2841,2350,OWNER,2190575.6,11007.917587939699,199.0,575.0,,207.4,3328.199999999999,,14.6,,18807.54464285714,21.0,,25.0,20.0,,21.0,,112.0,15961.056338028171,13954.4,8029.013008130077,71.0,5.0,123.0,1275989.2,11706.322935779817,109.0,2190575.6,11007.917587939699,199.0,1.530519488619844,,9166.2,3055.4,3.0,575.0,,,3328.2,5263.0,1.0,,,1.0,1.0,18,MONTHLY,1311,5451.0,159744.0,48.0,3328.0,C,1591.0,446.0,classic,1980.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
28,2900,18,75.83287671232877,M,2900,2402,OWNER,153449.80000000005,2692.1017543859657,57.0,2384.0,,115.02857142857144,,6943.0,14.599999999999998,,3004.5454545454545,9.0,,14.0,,14.0,9.0,,11.0,3441.806896551725,,1915.6214285714286,29.0,,28.0,138509.70000000007,2663.6480769230784,52.0,153449.80000000005,2692.1017543859657,57.0,9.271002202127166,,2384.0,2384.0,1.0,2384.0,,,,,1.0,,,,,18,MONTHLY,1770,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
29,2924,18,57.93972602739726,F,2924,2421,OWNER,287701.7000000001,1031.1888888888893,279.0,1544.0,363.0,145.45348837209303,,,14.600000000000012,,1824.909090909091,42.0,42.0,43.0,,,42.0,,110.0,1865.6538461538455,,627.2723404255322,91.0,,188.0,80866.29999999999,1050.2116883116882,77.0,231298.4000000001,1005.6452173913048,230.0,1.067952177007933,1.3424905989543163,2127.0,709.0,3.0,1544.0,363.0,,,220.0,1.0,1.0,,,1.0,18,MONTHLY,740,,,,,,,455.0,classic,2142.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
30,2925,18,51.350684931506855,M,2925,2421,DISPONENT,287701.7000000001,1031.1888888888893,279.0,1544.0,363.0,145.45348837209303,,,14.600000000000012,,1824.909090909091,42.0,42.0,43.0,,,42.0,,110.0,1865.6538461538455,,627.2723404255322,91.0,,188.0,80866.29999999999,1050.2116883116882,77.0,231298.4000000001,1005.6452173913048,230.0,1.067952177007933,1.3424905989543163,2127.0,709.0,3.0,1544.0,363.0,,,220.0,1.0,1.0,,,1.0,18,MONTHLY,740,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
31,2994,18,35.47123287671233,M,2994,2479,OWNER,870132.099999999,1982.0776765375836,439.0,3022.0,204.0,83.83015873015874,,,14.600000000000017,,3352.606965174129,59.0,58.0,63.0,,,58.0,,201.0,3233.4693430656926,,1414.3933774834425,137.0,,302.0,164565.50000000006,2006.896341463415,82.0,479140.69999999966,1916.5627999999988,250.0,1.1253357567999296,0.7762273062401572,3991.0,1330.3333333333333,3.0,3022.0,204.0,,,765.0,1.0,1.0,,,1.0,18,MONTHLY,281,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
32,3042,18,30.901369863013702,F,3042,2520,OWNER,307921.9999999999,1587.2268041237107,194.0,2355.0,,73.98536585365851,,,14.60000000000001,,2710.901234567901,36.0,,41.0,,,36.0,,81.0,1911.4697674418608,,1329.0333333333344,86.0,,108.0,85768.90000000002,1559.434545454546,55.0,266666.6000000001,1515.1511363636369,176.0,1.0669737712912326,1.9484770478531304,2355.0,2355.0,1.0,2355.0,,,,,1.0,,,,,18,MONTHLY,935,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
33,3182,18,73.74520547945205,F,3182,2636,OWNER,228208.70000000013,2173.4161904761922,105.0,3254.0,,77.93809523809523,,4882.0,14.6,,2060.5263157894738,20.0,,21.0,,25.0,20.0,,19.0,2644.3978723404252,,1791.7586206896553,47.0,,58.0,114136.50000000006,2075.209090909092,55.0,228208.70000000013,2173.4161904761922,105.0,1.0510755114181574,,3254.0,3254.0,1.0,3254.0,,,,,1.0,,,,,18,MONTHLY,1425,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
34,3292,18,58.98630136986301,M,3292,2726,OWNER,2131451.3000000017,8325.981640625007,256.0,5297.0,,249.6795454545454,,,14.60000000000001,,14345.984962406015,40.0,,44.0,,,39.0,,133.0,12270.465555555556,,6187.406024096382,90.0,,166.0,603977.2,8161.8540540540525,74.0,1756554.500000001,7984.338636363641,220.0,1.084289842333997,1.4858104950482371,5297.0,5297.0,1.0,5297.0,,,,,1.0,,,,,18,MONTHLY,839,,,,,,,518.0,gold,1866.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
35,3396,18,21.846575342465755,F,3396,2812,OWNER,1546327.5000000002,9976.306451612907,155.0,8211.0,,135.08333333333334,,,14.600000000000005,,17821.8,25.0,,30.0,,,25.0,,75.0,13128.319672131147,,7930.851063829784,61.0,,94.0,602815.6,10046.926666666664,60.0,1546327.5000000002,9976.306451612907,155.0,0.8740344257417646,,8211.0,8211.0,1.0,8211.0,,,,,1.0,,,,,18,MONTHLY,1281,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
36,3607,18,52.46301369863014,F,3607,2987,OWNER,3176167.0000000033,8847.261838440121,359.0,5569.0,,176.23333333333332,,,14.600000000000017,,15841.600558659218,59.0,,63.0,,,58.0,,179.0,12794.56062992126,,6686.456034482763,127.0,,232.0,572508.2999999998,8674.36818181818,66.0,1840836.300000001,8602.038785046734,214.0,0.9080437072769648,1.0673549586769164,5569.0,5569.0,1.0,5569.0,,,,,1.0,,,,,18,MONTHLY,258,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
37,3627,18,17.578082191780826,F,3627,3003,OWNER,702049.9999999994,3694.999999999997,190.0,,,210.2068965517241,,,14.60000000000001,,7106.670103092783,,,58.0,,,35.0,,97.0,3930.0891089108927,,3428.213483146068,101.0,,89.0,161993.80000000005,3305.995918367348,49.0,472727.49999999977,3425.5615942028967,138.0,0.7721215327675659,1.4633240476346572,,,,,,,,,,,,,,18,MONTHLY,330,,,,,,,571.0,junior,2019.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
38,3691,18,33.73150684931507,M,3691,3053,OWNER,1788775.4000000018,4121.602304147469,434.0,3790.0,,191.03125000000003,,,14.600000000000017,,6159.039682539683,59.0,,64.0,,,59.0,,252.0,6651.624113475178,,2904.083276450509,141.0,,293.0,345043.2,4012.13023255814,86.0,1025273.5999999992,3989.3914396887126,257.0,0.9872291432467531,1.0501341561980764,7465.0,3732.5,2.0,3790.0,,,,3675.0,1.0,,,,1.0,11,MONTHLY,234,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
39,3723,18,30.35342465753425,M,3723,3079,OWNER,221634.10000000006,1266.480571428572,175.0,,,73.49000000000002,,,14.600000000000007,,1887.9827586206893,,,30.0,,,29.0,,116.0,1853.3953846153845,,919.6672727272728,65.0,,110.0,84346.79999999999,1240.3941176470587,68.0,221634.10000000006,1266.480571428572,175.0,1.0258359937973178,,2299.0,1149.5,2.0,234.0,,,,2065.0,1.0,,,,1.0,18,MONTHLY,1151,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
40,3735,18,60.9972602739726,M,3735,3088,OWNER,1592562.4000000008,8608.44540540541,185.0,5866.0,,176.95757575757577,,,14.600000000000007,,14907.368421052632,29.0,,33.0,,,28.0,,95.0,12158.523529411765,,6545.152136752133,68.0,,117.0,562891.2999999999,7817.93472222222,72.0,1592562.4000000008,8608.44540540541,185.0,0.8947694204446448,,5866.0,5866.0,1.0,5866.0,,,,,1.0,,,,,18,MONTHLY,1162,,,,,,,583.0,classic,1574.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
41,3736,18,66.4904109589041,F,3736,3088,DISPONENT,1592562.4000000008,8608.44540540541,185.0,5866.0,,176.95757575757577,,,14.600000000000007,,14907.368421052632,29.0,,33.0,,,28.0,,95.0,12158.523529411765,,6545.152136752133,68.0,,117.0,562891.2999999999,7817.93472222222,72.0,1592562.4000000008,8608.44540540541,185.0,0.8947694204446448,,5866.0,5866.0,1.0,5866.0,,,,,1.0,,,,,18,MONTHLY,1162,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
