;account_id;sum_order_amount_by_account_id;mean_order_amount_by_account_id;total_nbr_orders;mean_order_amount_of Household;mean_order_amount_of Insurance payment;mean_order_amount_of Leasing;mean_order_amount_of Loan payment;mean_order_amount_of Unknown_Order_Type;nbr_orders Household;nbr_orders Insurance payment;nbr_orders Leasing;nbr_orders Loan payment;nbr_orders Unknown_Order_Type
60;73;6061.0;6061.0;1;6061.0;;;;;1.0;;;;
61;75;3369.0;3369.0;1;3369.0;;;;;1.0;;;;
62;76;5208.0;5208.0;1;5208.0;;;;;1.0;;;;
63;77;1709.0;1709.0;1;;;1709.0;;;;;1.0;;
64;78;9039.0;9039.0;1;9039.0;;;;;1.0;;;;
65;79;2788.0;2788.0;1;2788.0;;;;;1.0;;;;
66;80;2252.0;2252.0;1;2252.0;;;;;1.0;;;;
67;81;2056.0;685.3333333333334;3;1765.0;229.0;;;62.0;1.0;1.0;;;1.0
68;83;6150.0;3075.0;2;2210.0;;;;3940.0;1.0;;;;1.0
69;84;14161.0;7080.5;2;12452.0;;1709.0;;;1.0;;1.0;;
70;85;5623.0;2811.5;2;3831.0;;1792.0;;;1.0;;1.0;;
71;86;2162.0;1081.0;2;1002.0;;;;1160.0;1.0;;;;1.0
72;88;2268.0;2268.0;1;2268.0;;;;;1.0;;;;
73;90;9882.0;2470.5;4;2774.0;4372.0;;;1368.0;1.0;1.0;;;2.0
74;96;8160.1;1632.02;5;908.0;46.0;4422.1;;1392.0;1.0;1.0;1.0;;2.0
75;97;12438.0;2487.6;5;1436.0;3.0;;8573.0;1213.0;1.0;1.0;;1.0;2.0
76;98;2318.0;1159.0;2;1159.0;;;;;2.0;;;;
77;99;9185.0;4592.5;2;4503.0;;;;4682.0;1.0;;;;1.0
78;100;7927.0;3963.5;2;598.0;;;;7329.0;1.0;;;;1.0
79;101;8892.0;4446.0;2;8037.0;;;;855.0;1.0;;;;1.0
80;102;11120.2;3706.7333333333336;3;3373.0;;;7370.2;377.0;1.0;;;1.0;1.0
81;103;7370.2;7370.2;1;;;;7370.2;;;;;1.0;
82;104;2042.0;1021.0;2;578.0;;;;1464.0;1.0;;;;1.0
83;105;7348.0;7348.0;1;;;;7348.0;;;;;1.0;
84;106;3735.0;3735.0;1;3735.0;;;;;1.0;;;;
85;107;4554.0;1518.0;3;2015.0;959.0;;;1580.0;1.0;1.0;;;1.0
86;108;4803.0;4803.0;1;4803.0;;;;;1.0;;;;
87;110;7664.0;2554.6666666666665;3;3050.0;;;4516.0;98.0;1.0;;;1.0;1.0
88;112;2051.0;2051.0;1;2051.0;;;;;1.0;;;;
89;113;3146.0;3146.0;1;3146.0;;;;;1.0;;;;
90;114;2123.0;1061.5;2;1061.5;;;;;2.0;;;;
91;115;5110.0;5110.0;1;5110.0;;;;;1.0;;;;
92;116;6456.0;3228.0;2;5529.0;;927.0;;;1.0;;1.0;;
93;117;2329.0;2329.0;1;2329.0;;;;;1.0;;;;
94;118;2449.0;2449.0;1;2449.0;;;;;1.0;;;;
95;119;8252.0;8252.0;1;8252.0;;;;;1.0;;;;
96;120;5864.0;2932.0;2;3965.0;;1899.0;;;1.0;;1.0;;
97;121;2116.0;705.3333333333334;3;794.0;393.0;;;929.0;1.0;1.0;;;1.0
98;123;3016.0;3016.0;1;3016.0;;;;;1.0;;;;
99;124;1993.0;664.3333333333334;3;447.0;971.0;;;575.0;1.0;1.0;;;1.0
100;125;4422.1;4422.1;1;;;4422.1;;;;;1.0;;
101;126;7384.0;7384.0;1;7384.0;;;;;1.0;;;;
102;127;2242.0;2242.0;1;2242.0;;;;;1.0;;;;
103;129;3417.0;3417.0;1;3417.0;;;;;1.0;;;;
104;130;3969.0;3969.0;1;3969.0;;;;;1.0;;;;
105;131;6904.0;6904.0;1;6904.0;;;;;1.0;;;;
106;132;7370.2;7370.2;1;;;;7370.2;;;;;1.0;
107;133;13160.0;4386.666666666667;3;4943.0;;3094.0;;5123.0;1.0;;1.0;;1.0
108;136;2932.0;2932.0;1;2932.0;;;;;1.0;;;;
109;137;4251.0;2125.5;2;3464.0;;;;787.0;1.0;;;;1.0
110;141;14985.5;3746.375;4;3462.0;6716.0;3016.5;;1791.0;1.0;1.0;1.0;;1.0
111;142;1845.0;1845.0;1;1845.0;;;;;1.0;;;;
112;143;2272.0;2272.0;1;2272.0;;;;;1.0;;;;
113;145;4815.0;4815.0;1;4815.0;;;;;1.0;;;;
114;146;3823.0;3823.0;1;3823.0;;;;;1.0;;;;
115;148;2312.0;770.6666666666666;3;487.0;1736.0;;;89.0;1.0;1.0;;;1.0
116;151;3079.0;1539.5;2;411.0;;;;2668.0;1.0;;;;1.0
117;152;3419.0;1709.5;2;426.0;;;;2993.0;1.0;;;;1.0
118;153;4544.0;4544.0;1;4544.0;;;;;1.0;;;;
119;154;3891.0;3891.0;1;3891.0;;;;;1.0;;;;
120;155;2988.0;2988.0;1;2988.0;;;;;1.0;;;;
121;156;2030.0;2030.0;1;2030.0;;;;;1.0;;;;
122;157;3991.0;3991.0;1;3991.0;;;;;1.0;;;;
123;158;3420.0;3420.0;1;3420.0;;;;;1.0;;;;
124;159;8694.0;8694.0;1;8694.0;;;;;1.0;;;;
125;160;7926.0;3963.0;2;2374.0;;;;5552.0;1.0;;;;1.0
126;161;2281.0;1140.5;2;1140.5;;;;;2.0;;;;
127;162;3458.0;3458.0;1;3458.0;;;;;1.0;;;;
128;163;3728.0;1864.0;2;1864.0;;;;;2.0;;;;
129;165;1788.0;1788.0;1;1788.0;;;;;1.0;;;;
130;166;3044.0;3044.0;1;3044.0;;;;;1.0;;;;
131;168;2013.0;2013.0;1;2013.0;;;;;1.0;;;;
132;169;5671.0;2835.5;2;4975.0;;696.0;;;1.0;;1.0;;
133;171;3486.0;3486.0;1;3486.0;;;;;1.0;;;;
134;172;4221.0;4221.0;1;4221.0;;;;;1.0;;;;
135;173;17342.0;3468.4;5;6256.0;735.0;;8734.0;808.5;1.0;1.0;;1.0;2.0
136;174;2139.0;2139.0;1;2139.0;;;;;1.0;;;;
137;176;6985.3;1746.325;4;4564.0;97.0;;2288.3;36.0;1.0;1.0;;1.0;1.0
138;178;1987.0;993.5;2;1482.0;;;;505.0;1.0;;;;1.0
139;179;13667.0;3416.75;4;7615.0;378.0;;;2837.0;1.0;1.0;;;2.0
140;181;6780.0;6780.0;1;6780.0;;;;;1.0;;;;
141;183;5954.0;2977.0;2;5202.0;;;;752.0;1.0;;;;1.0
142;184;1623.0;1623.0;1;;;1623.0;;;;;1.0;;
143;185;6526.0;6526.0;1;6526.0;;;;;1.0;;;;
144;186;6862.0;6862.0;1;6862.0;;;;;1.0;;;;
145;187;2798.0;2798.0;1;2798.0;;;;;1.0;;;;
146;188;7426.0;7426.0;1;7426.0;;;;;1.0;;;;
147;189;5354.0;1784.6666666666667;3;4244.0;360.0;;;750.0;1.0;1.0;;;1.0
148;190;9110.0;2277.5;4;4519.0;42.0;;;2274.5;1.0;1.0;;;2.0
149;191;4420.9;4420.9;1;;;4420.9;;;;;1.0;;
150;192;3583.0;3583.0;1;3583.0;;;;;1.0;;;;
151;193;7110.0;7110.0;1;7110.0;;;;;1.0;;;;
152;194;2648.0;2648.0;1;2648.0;;;;;1.0;;;;
153;195;6260.0;6260.0;1;6260.0;;;;;1.0;;;;
154;196;8626.0;2156.5;4;1270.0;2554.0;;;2401.0;1.0;1.0;;;2.0
155;197;9454.0;9454.0;1;9454.0;;;;;1.0;;;;
156;198;2866.0;1433.0;2;1433.0;;;;;2.0;;;;
157;199;1984.0;1984.0;1;1984.0;;;;;1.0;;;;
158;201;9584.0;9584.0;1;9584.0;;;;;1.0;;;;
159;204;1950.0;1950.0;1;1950.0;;;;;1.0;;;;
160;205;4297.0;4297.0;1;4297.0;;;;;1.0;;;;
161;206;2902.0;2902.0;1;2902.0;;;;;1.0;;;;
162;207;3139.0;1046.3333333333333;3;403.0;2726.0;;;10.0;1.0;1.0;;;1.0
163;208;7446.0;1861.5;4;4148.0;986.0;;;1156.0;1.0;1.0;;;2.0
164;209;2320.0;773.3333333333334;3;483.0;1796.0;;;41.0;1.0;1.0;;;1.0
165;210;7534.0;7534.0;1;7534.0;;;;;1.0;;;;
166;211;2394.0;2394.0;1;;;2394.0;;;;;1.0;;
167;212;13841.0;13841.0;1;13841.0;;;;;1.0;;;;
168;213;5625.0;5625.0;1;5625.0;;;;;1.0;;;;
169;214;2097.0;2097.0;1;2097.0;;;;;1.0;;;;
170;215;2121.0;2121.0;1;2121.0;;;;;1.0;;;;
171;216;2999.0;1499.5;2;1499.5;;;;;2.0;;;;
172;217;4112.0;2056.0;2;3459.0;;653.0;;;1.0;;1.0;;
173;218;3182.0;3182.0;1;;;3182.0;;;;;1.0;;
174;219;5324.0;2662.0;2;2336.0;;;;2988.0;1.0;;;;1.0
175;220;3095.0;3095.0;1;3095.0;;;;;1.0;;;;
176;221;7896.0;7896.0;1;7896.0;;;;;1.0;;;;
177;222;3440.9;3440.9;1;;;3440.9;;;;;1.0;;
178;224;3503.0;3503.0;1;3503.0;;;;;1.0;;;;
179;225;3385.0;1692.5;2;3383.0;;;;2.0;1.0;;;;1.0
180;226;18040.0;9020.0;2;8928.0;;;9112.0;;1.0;;;1.0;
181;227;9381.0;9381.0;1;9381.0;;;;;1.0;;;;
182;228;4104.0;2052.0;2;1946.0;;;;2158.0;1.0;;;;1.0
183;229;2505.0;2505.0;1;2505.0;;;;;1.0;;;;
184;230;8200.0;2733.3333333333335;3;5615.0;1058.0;;;1527.0;1.0;1.0;;;1.0
185;231;2073.0;2073.0;1;2073.0;;;;;1.0;;;;
186;232;3643.0;3643.0;1;3643.0;;;;;1.0;;;;
187;234;2809.0;2809.0;1;2809.0;;;;;1.0;;;;
188;235;2216.0;1108.0;2;895.0;;;;1321.0;1.0;;;;1.0
189;237;1940.0;970.0;2;152.0;;;;1788.0;1.0;;;;1.0
190;238;2234.0;2234.0;1;2234.0;;;;;1.0;;;;
191;239;7189.0;2396.3333333333335;3;1042.0;152.0;;;5995.0;1.0;1.0;;;1.0
192;240;10671.0;5335.5;2;9621.0;;1050.0;;;1.0;;1.0;;
193;241;2586.0;862.0;3;1344.0;610.0;;;632.0;1.0;1.0;;;1.0
194;242;4039.0;2019.5;2;1062.0;;;;2977.0;1.0;;;;1.0
195;243;4108.0;2054.0;2;3067.0;;1041.0;;;1.0;;1.0;;
196;244;2648.0;882.6666666666666;3;2190.0;232.0;;;226.0;1.0;1.0;;;1.0
197;246;1970.0;1970.0;1;1970.0;;;;;1.0;;;;
198;248;2484.9;2484.9;1;;;2484.9;;;;;1.0;;
199;249;7494.0;3747.0;2;5618.0;;;;1876.0;1.0;;;;1.0
200;250;3066.0;3066.0;1;3066.0;;;;;1.0;;;;
201;251;3059.0;3059.0;1;3059.0;;;;;1.0;;;;
202;252;1767.0;1767.0;1;1767.0;;;;;1.0;;;;
203;255;5323.0;5323.0;1;5323.0;;;;;1.0;;;;
204;257;17982.7;8991.35;2;14166.0;;3816.7;;;1.0;;1.0;;
205;258;3737.0;3737.0;1;3737.0;;;;;1.0;;;;
206;259;3154.0;1577.0;2;1577.0;;;;;2.0;;;;
207;260;5247.0;5247.0;1;5247.0;;;;;1.0;;;;
208;261;2553.0;1276.5;2;2182.0;;;;371.0;1.0;;;;1.0
209;263;6145.0;6145.0;1;6145.0;;;;;1.0;;;;
210;264;3307.0;3307.0;1;3307.0;;;;;1.0;;;;
211;265;2900.0;2900.0;1;2900.0;;;;;1.0;;;;
212;266;4975.2;4975.2;1;;;4975.2;;;;;1.0;;
213;267;3074.0;3074.0;1;3074.0;;;;;1.0;;;;
214;268;3121.0;3121.0;1;3121.0;;;;;1.0;;;;
215;269;2146.0;1073.0;2;456.0;;;;1690.0;1.0;;;;1.0
216;270;5462.0;5462.0;1;5462.0;;;;;1.0;;;;
217;271;1535.0;1535.0;1;1535.0;;;;;1.0;;;;
218;272;7454.0;7454.0;1;7454.0;;;;;1.0;;;;
219;273;9299.1;2324.775;4;5965.0;1836.0;1320.1;;178.0;1.0;1.0;1.0;;1.0
220;274;9886.0;9886.0;1;9886.0;;;;;1.0;;;;
221;275;2260.0;1130.0;2;198.0;;;;2062.0;1.0;;;;1.0
222;276;9682.5;4841.25;2;5212.0;;;4470.5;;1.0;;;1.0;
223;277;2682.3;2682.3;1;;;2682.3;;;;;1.0;;
224;278;4038.0;2019.0;2;3362.0;;676.0;;;1.0;;1.0;;
225;279;2004.0;1002.0;2;624.0;;;;1380.0;1.0;;;;1.0
226;280;8985.0;2995.0;3;3334.0;;957.0;;4694.0;1.0;;1.0;;1.0
227;281;5578.0;5578.0;1;5578.0;;;;;1.0;;;;
228;282;8333.0;4166.5;2;7531.0;;;;802.0;1.0;;;;1.0
229;283;2802.0;2802.0;1;2802.0;;;;;1.0;;;;
230;284;5629.0;5629.0;1;5629.0;;;;;1.0;;;;
231;285;667.0;667.0;1;;;667.0;;;;;1.0;;
232;286;9848.0;9848.0;1;9848.0;;;;;1.0;;;;
233;287;2344.0;1172.0;2;1172.0;;;;;2.0;;;;
234;288;3464.0;1732.0;2;1732.0;;;;;2.0;;;;
235;289;8366.0;4183.0;2;5745.0;;;;2621.0;1.0;;;;1.0
236;290;8504.0;2834.6666666666665;3;2653.0;;;2577.0;3274.0;1.0;;;1.0;1.0
237;291;14928.9;4976.3;3;62.0;;1941.9;;12925.0;1.0;;1.0;;1.0
238;292;1986.0;1986.0;1;1986.0;;;;;1.0;;;;
239;293;3847.0;1282.3333333333333;3;1636.0;1366.0;;;845.0;1.0;1.0;;;1.0
240;294;6573.0;1643.25;4;5842.0;430.0;;;150.5;1.0;1.0;;;2.0
241;295;6992.0;6992.0;1;6992.0;;;;;1.0;;;;
242;296;2646.0;2646.0;1;2646.0;;;;;1.0;;;;
243;300;1628.0;1628.0;1;1628.0;;;;;1.0;;;;
244;301;1950.0;1950.0;1;1950.0;;;;;1.0;;;;
245;302;3236.0;3236.0;1;3236.0;;;;;1.0;;;;
246;303;6935.0;3467.5;2;3803.0;;;3132.0;;1.0;;;1.0;
247;304;14367.0;14367.0;1;14367.0;;;;;1.0;;;;
248;305;2953.0;2953.0;1;2953.0;;;;;1.0;;;;
249;306;3657.0;3657.0;1;3657.0;;;;;1.0;;;;
250;308;1284.0;1284.0;1;;;1284.0;;;;;1.0;;
251;309;1901.0;1901.0;1;;;;1901.0;;;;;1.0;
252;311;9300.0;1860.0;5;4777.0;3375.0;;422.0;363.0;1.0;1.0;;1.0;2.0
253;312;7814.0;7814.0;1;7814.0;;;;;1.0;;;;
254;313;2294.0;2294.0;1;2294.0;;;;;1.0;;;;
255;314;16476.0;8238.0;2;13691.0;;;2785.0;;1.0;;;1.0;
256;315;3509.0;3509.0;1;;;;3509.0;;;;;1.0;
257;317;3068.0;3068.0;1;3068.0;;;;;1.0;;;;
258;318;2858.0;2858.0;1;2858.0;;;;;1.0;;;;
259;319;9818.5;2454.625;4;1057.0;416.0;;6149.5;2196.0;1.0;1.0;;1.0;1.0
260;321;1876.0;1876.0;1;1876.0;;;;;1.0;;;;
261;322;6550.0;6550.0;1;6550.0;;;;;1.0;;;;
262;323;3025.0;3025.0;1;3025.0;;;;;1.0;;;;
263;324;2069.0;1034.5;2;1034.5;;;;;2.0;;;;
264;325;2741.0;2741.0;1;2741.0;;;;;1.0;;;;
265;326;3448.0;1724.0;2;1724.0;;;;;2.0;;;;
266;327;7057.0;3528.5;2;3252.0;;;;3805.0;1.0;;;;1.0
267;328;2432.0;1216.0;2;1216.0;;;;;2.0;;;;
268;329;3902.0;1951.0;2;792.0;;;;3110.0;1.0;;;;1.0
269;330;6908.0;6908.0;1;;;;6908.0;;;;;1.0;
270;331;3528.0;3528.0;1;3528.0;;;;;1.0;;;;
271;332;2385.0;2385.0;1;2385.0;;;;;1.0;;;;
272;333;1998.0;666.0;3;1634.0;292.0;;;72.0;1.0;1.0;;;1.0
273;334;3542.0;1771.0;2;2374.0;;;;1168.0;1.0;;;;1.0
274;335;2697.0;2697.0;1;2697.0;;;;;1.0;;;;
275;336;4067.0;4067.0;1;4067.0;;;;;1.0;;;;
276;338;2252.0;2252.0;1;2252.0;;;;;1.0;;;;
277;339;11936.2;3978.7333333333336;3;4087.0;;;7801.2;48.0;1.0;;;1.0;1.0
278;340;1818.0;909.0;2;909.0;;;;;2.0;;;;
279;342;2332.0;2332.0;1;2332.0;;;;;1.0;;;;
280;343;2505.0;2505.0;1;2505.0;;;;;1.0;;;;
281;344;6422.0;3211.0;2;4739.0;;;1683.0;;1.0;;;1.0;
282;345;8819.0;8819.0;1;8819.0;;;;;1.0;;;;
283;346;7875.0;7875.0;1;7875.0;;;;;1.0;;;;
284;347;7801.2;7801.2;1;;;;7801.2;;;;;1.0;
285;349;8228.0;4114.0;2;4660.0;;;3568.0;;1.0;;;1.0;
286;350;3791.0;3791.0;1;3791.0;;;;;1.0;;;;
287;352;1992.0;1992.0;1;1992.0;;;;;1.0;;;;
288;353;3566.0;1783.0;2;1783.0;;;;;2.0;;;;
289;354;4771.0;4771.0;1;4771.0;;;;;1.0;;;;
290;355;7939.0;3969.5;2;5012.0;;;;2927.0;1.0;;;;1.0
291;356;4188.0;4188.0;1;4188.0;;;;;1.0;;;;
292;357;2068.0;1034.0;2;1788.0;;;;280.0;1.0;;;;1.0
293;358;2066.0;516.5;4;532.0;27.0;;;753.5;1.0;1.0;;;2.0
294;359;3544.0;3544.0;1;3544.0;;;;;1.0;;;;
295;361;3329.0;1664.5;2;1941.0;;;;1388.0;1.0;;;;1.0
296;362;6361.0;2120.3333333333335;3;6001.0;68.0;;;292.0;1.0;1.0;;;1.0
297;364;2221.0;2221.0;1;2221.0;;;;;1.0;;;;
298;365;15090.0;3018.0;5;11528.0;5.0;1766.0;;895.5;1.0;1.0;1.0;;2.0
299;366;8380.0;2095.0;4;2442.0;836.0;;;2551.0;1.0;1.0;;;2.0
300;367;6384.0;6384.0;1;6384.0;;;;;1.0;;;;
301;368;6680.0;1336.0;5;4381.0;269.0;1071.0;;479.5;1.0;1.0;1.0;;2.0
302;370;2075.0;691.6666666666666;3;215.0;672.0;;;1188.0;1.0;1.0;;;1.0
303;372;9933.0;4966.5;2;7785.0;;;;2148.0;1.0;;;;1.0
304;373;6452.0;6452.0;1;6452.0;;;;;1.0;;;;
305;375;3824.0;3824.0;1;3824.0;;;;;1.0;;;;
306;376;7097.0;7097.0;1;7097.0;;;;;1.0;;;;
307;378;13567.2;2713.44;5;8537.0;2.0;;3840.2;594.0;1.0;1.0;;1.0;2.0
308;379;2484.0;621.0;4;1561.0;177.0;;;373.0;1.0;1.0;;;2.0
309;382;2276.0;758.6666666666666;3;2235.0;14.0;;;27.0;1.0;1.0;;;1.0
310;383;2057.0;2057.0;1;2057.0;;;;;1.0;;;;
311;384;2304.1;2304.1;1;;;2304.1;;;;;1.0;;
312;385;2312.0;770.6666666666666;3;2160.0;121.0;;;31.0;1.0;1.0;;;1.0
313;386;4711.0;4711.0;1;4711.0;;;;;1.0;;;;
314;388;6524.0;6524.0;1;6524.0;;;;;1.0;;;;
315;389;4164.0;2082.0;2;884.0;;;;3280.0;1.0;;;;1.0
316;390;4977.0;4977.0;1;4977.0;;;;;1.0;;;;
317;392;7070.0;3535.0;2;1407.0;;;;5663.0;1.0;;;;1.0
318;393;6222.0;3111.0;2;302.0;;;;5920.0;1.0;;;;1.0
319;395;8735.0;2911.6666666666665;3;3871.0;;828.0;;4036.0;1.0;;1.0;;1.0
320;396;5882.0;1470.5;4;5245.0;308.0;;;164.5;1.0;1.0;;;2.0
321;398;1702.0;1702.0;1;1702.0;;;;;1.0;;;;
322;399;9099.5;4549.75;2;6009.0;;3090.5;;;1.0;;1.0;;
323;400;6948.0;6948.0;1;6948.0;;;;;1.0;;;;
324;401;5369.0;2684.5;2;3600.0;;;;1769.0;1.0;;;;1.0
325;402;4294.0;2147.0;2;2083.0;;;;2211.0;1.0;;;;1.0
326;403;2401.0;2401.0;1;2401.0;;;;;1.0;;;;
327;404;5013.0;2506.5;2;1563.0;;;;3450.0;1.0;;;;1.0
328;405;16047.0;4011.75;4;9632.0;3579.0;1339.0;;1497.0;1.0;1.0;1.0;;1.0
329;406;2064.0;1032.0;2;1800.0;;;;264.0;1.0;;;;1.0
330;407;5425.0;2712.5;2;5411.0;;;;14.0;1.0;;;;1.0
331;408;5042.0;5042.0;1;5042.0;;;;;1.0;;;;
332;409;6810.0;6810.0;1;6810.0;;;;;1.0;;;;
333;410;3825.0;3825.0;1;3825.0;;;;;1.0;;;;
334;411;8499.0;8499.0;1;8499.0;;;;;1.0;;;;
335;412;8727.0;8727.0;1;8727.0;;;;;1.0;;;;
336;413;2107.0;2107.0;1;2107.0;;;;;1.0;;;;
337;414;7870.0;7870.0;1;7870.0;;;;;1.0;;;;
338;415;8740.0;8740.0;1;8740.0;;;;;1.0;;;;
339;416;1969.0;984.5;2;984.5;;;;;2.0;;;;
340;418;9316.0;9316.0;1;9316.0;;;;;1.0;;;;
341;420;7192.0;7192.0;1;7192.0;;;;;1.0;;;;
342;421;5571.0;5571.0;1;5571.0;;;;;1.0;;;;
343;423;1942.0;1942.0;1;1942.0;;;;;1.0;;;;
344;424;4591.0;4591.0;1;4591.0;;;;;1.0;;;;
345;425;3260.0;1086.6666666666667;3;2390.0;64.0;;;806.0;1.0;1.0;;;1.0
346;426;12584.2;4194.733333333334;3;7497.0;;;4201.2;886.0;1.0;;;1.0;1.0
347;427;8166.0;8166.0;1;8166.0;;;;;1.0;;;;
348;428;3987.0;3987.0;1;3987.0;;;;;1.0;;;;
349;429;5286.0;5286.0;1;5286.0;;;;;1.0;;;;
350;431;7197.0;3598.5;2;6482.0;;;;715.0;1.0;;;;1.0
351;434;7303.0;3651.5;2;5666.0;;;;1637.0;1.0;;;;1.0
352;435;3189.0;3189.0;1;3189.0;;;;;1.0;;;;
353;436;5250.0;1750.0;3;4885.0;293.0;;;72.0;1.0;1.0;;;1.0
354;437;5354.0;2677.0;2;2248.0;;;;3106.0;1.0;;;;1.0
355;440;7581.0;3790.5;2;5825.0;;;1756.0;;1.0;;;1.0;
356;441;8279.0;2759.6666666666665;3;3041.0;;4473.0;;765.0;1.0;;1.0;;1.0
357;442;15129.0;5043.0;3;5606.0;;;7455.0;2068.0;1.0;;;1.0;1.0
358;443;2038.0;679.3333333333334;3;1508.0;67.0;;;463.0;1.0;1.0;;;1.0
359;444;4469.0;4469.0;1;4469.0;;;;;1.0;;;;
360;445;11565.0;5782.5;2;3998.0;;;;7567.0;1.0;;;;1.0
361;446;6941.0;6941.0;1;6941.0;;;;;1.0;;;;
362;447;6108.0;3054.0;2;5554.0;;554.0;;;1.0;;1.0;;
363;449;1953.0;976.5;2;976.5;;;;;2.0;;;;
364;450;2404.0;2404.0;1;2404.0;;;;;1.0;;;;
365;451;7208.0;7208.0;1;;;;7208.0;;;;;1.0;
366;452;5433.0;2716.5;2;5058.0;;;;375.0;1.0;;;;1.0
