;account_id;alltime_sum_trans_amount_by_account_id;alltime_mean_trans_amount_by_account_id;alltime_total_nbr_trans;mean_trans_amount_of Household;mean_trans_amount_of Insurance payment;mean_trans_amount_of Interest credited;mean_trans_amount_of Loan payment;mean_trans_amount_of Old-age pension;mean_trans_amount_of Payment for statement;mean_trans_amount_of Sanction interest if negative balance;mean_trans_amount_of Unknown_Transaction_Type_x;nbr_trans Household;nbr_trans Insurance payment;nbr_trans Interest credited;nbr_trans Loan payment;nbr_trans Old-age pension;nbr_trans Payment for statement;nbr_trans Sanction interest if negative balance;nbr_trans Unknown_Transaction_Type_x;mean_trans_amount_of Credit;mean_trans_amount_of Unknown_Transaction_Type_y;mean_trans_amount_of Withdrawal;nbr_trans Credit;nbr_trans Unknown_Transaction_Type_y;nbr_trans Withdrawal;1yr_sum_trans_amount_by_account_id;1yr_mean_trans_amount_by_account_id;1yr_total_nbr_trans;3yr_sum_trans_amount_by_account_id;3yr_mean_trans_amount_by_account_id;3yr_total_nbr_trans;trans_ratio_98_97;trans_ratio_97_96
34;36;2793004.200000004;7198.464432989701;388.0;4069.0;;184.20606060606062;;;14.600000000000016;;12701.899497487437;62.0;;66.0;;;61.0;;199.0;10716.982089552239;;5342.238582677168;134.0;;254.0;487934.7999999999;6872.321126760561;71.0;1527597.1000000006;7039.617972350233;217.0;0.9722177556661666;0.9701856423657326
35;37;948153.8999999999;7293.491538461538;130.0;2317.0;97.0;149.12941176470594;5307.5;;14.599999999999996;0.4;12947.5;14.0;14.0;17.0;1.0;;13.0;1.0;70.0;13806.366666666665;20827.5;4450.7576086956515;36.0;2.0;92.0;656618.7;6501.175247524752;101.0;948153.8999999999;7293.491538461538;130.0;2.2522793130983843;
36;38;571949.7000000001;4399.613076923078;130.0;6901.0;228.0;147.37058823529412;2306.7999999999997;;30.0;;6740.31884057971;12.0;12.0;17.0;8.0;;12.0;;69.0;6422.193750000001;7563.8;2933.316883116882;48.0;5.0;77.0;450296.5999999999;4056.7261261261256;111.0;571949.7000000001;4399.613076923078;130.0;3.701480685654537;
37;39;813539.4999999991;2038.9461152882182;399.0;145.0;;99.42833333333331;;6474.0;14.600000000000016;;2454.7798742138366;59.0;;60.0;;63.0;58.0;;159.0;3346.1911290322587;;1449.4974545454536;124.0;;275.0;165351.10000000003;2066.8887500000005;80.0;478655.79999999976;2019.6447257383957;237.0;1.0141122268554263;0.9991641465439853
38;40;906112.8999999987;2475.7183060109255;366.0;33.0;;90.70483870967742;;;14.600000000000016;;4749.962962962963;58.0;;62.0;;;57.0;;189.0;3495.5541353383464;;1893.5802575107275;133.0;;233.0;173158.90000000005;2473.698571428572;70.0;507157.3999999997;2461.9291262135907;206.0;1.1283518113302464;0.7702846094462911
39;41;555118.1;7818.564788732394;71.0;;;220.0529411764706;;;14.599999999999996;;13123.857142857143;;;17.0;;;12.0;;42.0;9109.525000000001;;6490.720000000002;36.0;;35.0;400629.8;7419.07037037037;54.0;555118.1;7818.564788732394;71.0;2.593269522675827;
40;42;594993.9999999998;3005.020202020201;198.0;4239.0;1592.0;116.29285714285717;;;14.600000000000003;;4530.5;24.0;23.0;28.0;;;23.0;;100.0;4928.4;;2107.4429629629635;63.0;;135.0;279331.1000000001;2940.3273684210535;95.0;594993.9999999998;3005.020202020201;198.0;1.1408072323945018;
41;43;2841686.7000000025;8852.606542056083;321.0;6589.0;;260.84909090909093;;;14.600000000000014;;15043.132530120482;50.0;;55.0;;;50.0;;166.0;12957.381249999997;;6652.918660287083;112.0;;209.0;643732.2;8940.724999999999;72.0;1904000.4000000008;8654.547272727277;220.0;1.0516204305726726;0.9694097614727248
42;44;549417.3999999992;1738.6626582278457;316.0;2344.0;;76.6698412698413;;4200.0;14.600000000000016;;1878.8524590163934;63.0;;63.0;;67.0;62.0;;61.0;2188.016793893129;;1420.471351351353;131.0;;185.0;101149.6;1714.4;59.0;299052.9;1728.6294797687863;173.0;0.9423957723855982;1.0108789731891845
43;45;133399.90000000002;1933.3318840579714;69.0;;;106.76875;;;14.599999999999996;;3131.690476190476;;;16.0;;;11.0;;42.0;1942.4219512195123;;1920.0214285714283;41.0;;28.0;104376.20000000004;1863.860714285715;56.0;133399.90000000002;1933.3318840579714;69.0;3.5962403139503247;
44;47;4933893.3999999985;8732.554690265484;565.0;6940.0;141.0;187.6984615384615;;;14.600000000000016;;14072.153605015674;61.0;60.0;65.0;;;60.0;;319.0;18844.544360902255;10727.454545454546;5345.280487804884;133.0;22.0;410.0;872974.7999999998;8729.747999999998;100.0;2719649.000000002;8498.903125000006;320.0;0.9366245244991248;0.9917683873470732
45;48;1197219.6999999997;7928.60728476821;151.0;6268.0;;207.30800000000002;;;14.6;;12399.82558139535;20.0;;25.0;;;20.0;;86.0;12193.609615384614;;5688.404040404038;52.0;;99.0;578880.4999999999;7236.0062499999985;80.0;1197219.6999999997;7928.60728476821;151.0;1.0005582850451338;
46;49;183161.80000000005;1969.481720430108;93.0;3102.0;;57.24761904761905;;4654.0;14.599999999999996;;1808.421052631579;16.0;;21.0;;21.0;16.0;;19.0;2307.818604651163;;1678.5120000000002;43.0;;50.0;117405.90000000001;1956.765;60.0;183161.80000000005;1969.481720430108;93.0;1.7854808465856298;
47;50;1916904.2000000018;5084.626525198943;377.0;269.0;;164.04642857142858;;;14.600000000000014;;8644.995433789954;51.0;;56.0;;;51.0;;219.0;8559.970940170939;;3520.721538461535;117.0;;260.0;385348.89999999997;4757.393827160493;81.0;1234727.1999999997;4861.130708661416;254.0;0.9301644490060356;0.9585676937454608
48;51;1322341.9;6887.197395833333;192.0;2074.0;;256.6870967741935;;;14.600000000000005;;11648.212962962964;27.0;;31.0;;;26.0;;108.0;11274.322222222218;;4744.648062015501;63.0;;129.0;522803.3999999999;6454.362962962962;81.0;1322341.9;6887.197395833333;192.0;0.9939313169029015;
49;52;1264703.3999999997;8782.662499999999;144.0;560.0;;155.72173913043477;;;14.599999999999998;;14883.559523809523;19.0;;23.0;;;18.0;;84.0;13394.408333333333;13579.0;5831.134090909088;48.0;8.0;88.0;683474.4999999999;7947.377906976742;86.0;1264703.3999999997;8782.662499999999;144.0;1.175912794425742;
50;53;360117.7999999998;1828.0091370558366;197.0;2851.0;;70.06976744186046;;4277.0;14.60000000000001;;1807.3529411764705;39.0;;43.0;;43.0;38.0;;34.0;2156.597701149425;;1568.1254545454556;87.0;;110.0;113223.10000000003;1887.0516666666672;60.0;312423.5;1816.4156976744187;172.0;1.0868568982133873;2.184219078590105
51;54;282774.60000000003;1346.5457142857144;210.0;2280.0;;74.34545454545454;;;14.60000000000001;;2157.862068965517;40.0;;44.0;;;39.0;;87.0;1739.2719101123596;;1057.6809917355379;89.0;;121.0;80217.5;1315.0409836065573;61.0;243746.90000000017;1331.9502732240446;183.0;1.0510417062468307;1.9555828296312623
52;55;298743.1;1991.6206666666665;150.0;3086.0;;72.65666666666668;;4629.0;14.600000000000007;;1759.2857142857142;29.0;;30.0;;34.0;29.0;;28.0;2459.4723076923074;;1633.8517647058834;65.0;;85.0;109137.10000000002;1914.685964912281;57.0;298743.1;1991.6206666666665;150.0;0.9310291583491153;
53;56;1761908.4000000013;6013.339249146762;293.0;8080.0;;137.33454545454543;;;14.600000000000014;;9792.299270072992;51.0;;55.0;;;50.0;;137.0;7709.6474576271185;;4869.542857142853;118.0;;175.0;391736.1999999999;5760.826470588234;68.0;1171193.4999999998;5826.833333333332;201.0;1.0082630291218753;1.0207110455143849
54;57;1955860.5000000014;7670.041176470594;255.0;4107.0;;168.76046511627908;;;14.60000000000001;;13243.525925925926;39.0;;43.0;;;38.0;;135.0;11602.674712643679;;5633.498809523806;87.0;;168.0;532773.0999999999;7298.261643835614;73.0;1660899.400000001;7481.528828828834;222.0;0.9583179016814761;1.8848115904097178
55;58;317481.50000000006;2317.3832116788326;137.0;2250.0;;50.26400000000002;;5804.0;14.600000000000003;13.549999999999999;2806.7567567567567;22.0;;25.0;;28.0;23.0;2.0;37.0;3043.862962962963;;1844.7337349397596;54.0;;83.0;135447.60000000003;2184.63870967742;62.0;317481.50000000006;2317.3832116788326;137.0;0.8600737727142556;
56;59;1802380.3000000021;4681.507272727278;385.0;695.0;;179.91403508771933;;;14.600000000000014;;7867.85201793722;53.0;;57.0;;;52.0;;223.0;7651.18780487805;;3287.344274809157;123.0;;262.0;372716.89999999997;4437.105952380952;84.0;1165610.2;4607.154940711463;253.0;0.9399318246182379;1.0870462474824079
57;61;474569.39999999956;1399.909734513273;339.0;1645.0;;83.14999999999999;;4019.0;14.600000000000014;;1212.9464285714287;56.0;;56.0;;60.0;55.0;;112.0;2106.8068376068377;;1027.3558558558568;117.0;;222.0;102016.50000000003;1416.8958333333337;72.0;304111.60000000003;1401.435944700461;217.0;1.0360223582148362;1.0358723072100182
58;62;698825.4999999995;1962.9929775280887;356.0;2273.0;;95.4630769230769;;5079.0;14.600000000000016;;2080.537634408602;65.0;;65.0;;69.0;64.0;;93.0;2650.0451851851853;;1543.3004524886874;135.0;;221.0;126763.20000000003;1980.6750000000004;64.0;380556.79999999993;1992.4439790575912;191.0;1.0503772263814026;0.982962371095815
59;63;224733.00000000006;1742.1162790697679;129.0;2237.0;;111.14285714285714;;5024.0;14.6;;1179.2857142857142;21.0;;21.0;;25.0;20.0;;42.0;2734.765957446808;;1173.1585365853662;47.0;;82.0;121495.60000000003;1711.2056338028174;71.0;224733.00000000006;1742.1162790697679;129.0;1.2446610813679273;
60;64;217929.79999999993;4952.949999999998;44.0;;;141.14736842105268;;;;;8609.92;;;19.0;;;;;25.0;3994.3266666666673;;7007.142857142857;30.0;;14.0;159533.9999999999;6647.249999999996;24.0;217929.79999999993;4952.949999999998;44.0;2.7319430506988507;
61;65;1357447.1;7499.7077348066305;181.0;686.0;3401.0;206.98076923076925;;;14.600000000000001;;14020.5;22.0;22.0;26.0;;;21.0;;90.0;13335.783018867922;;5083.207812499998;53.0;;128.0;627754.7999999998;6607.945263157892;95.0;1357447.1;7499.7077348066305;181.0;0.9669758141596833;
62;66;5879317.099999998;18605.433860759487;316.0;;;261.72295081967206;;;100.0;;29435.93969849246;;;61.0;;;56.0;;199.0;24307.19593495934;13809.42857142857;15062.569832402234;123.0;14.0;179.0;1115601.8;18593.363333333335;60.0;3464633.8999999994;17858.937628865977;194.0;0.953324598811303;1.0126706891186452
63;67;4518164.000000003;11827.654450261787;382.0;6393.0;;218.64000000000004;6915.0;;14.600000000000012;;18647.63594470046;46.0;;50.0;24.0;;45.0;;217.0;22342.519607843136;12338.1;7663.32692307693;102.0;20.0;260.0;1104955.2999999998;11754.843617021275;94.0;3274155.600000003;11290.191724137941;290.0;1.0300378649779203;0.9798080924365544
64;68;3645529.4999999995;8597.946933962263;424.0;1705.0;137.0;278.2395833333333;;;100.0;;14367.076923076924;43.0;43.0;48.0;;;43.0;;247.0;19095.13775510204;13832.75;5121.697452229299;98.0;12.0;314.0;908303.2999999999;8038.082300884955;113.0;2759171.5;8115.210294117647;340.0;0.9295717149230972;1.1026478348104969
65;69;501134.9999999996;2556.811224489794;196.0;;;119.50555555555555;;;14.600000000000009;;3908.2755905511813;;;36.0;;;33.0;;127.0;2295.147967479675;;2997.6958904109606;123.0;;73.0;95925.29999999999;1598.7549999999999;60.0;501134.9999999996;2556.811224489794;196.0;0.5025993092261067;
66;70;915220.4999999993;3735.5938775510176;245.0;4150.0;;151.65;;;14.600000000000012;;6321.948275862069;42.0;;46.0;;;41.0;;116.0;4740.810891089109;;3030.5458333333318;101.0;;144.0;254430.4;3797.4686567164176;67.0;724322.3999999998;3676.7634517766487;197.0;1.085687366225502;1.2276161994278625
67;71;2695794.500000003;5435.069556451618;496.0;968.0;1011.0;225.97758620689655;;;14.600000000000014;;9266.244604316547;53.0;54.0;58.0;;;53.0;;278.0;11717.650000000001;;3473.8407407407417;118.0;;378.0;564243.4999999999;5224.47685185185;108.0;1691848.5000000007;5205.687692307694;325.0;1.011256485199372;0.9866423066476537
68;72;3287344.4999999995;13584.06818181818;242.0;7109.0;;191.43548387096777;;;30.0;;19963.694805194806;29.0;;31.0;;;28.0;;154.0;17987.39673913044;11593.0;10816.021897810218;92.0;13.0;137.0;1012856.2000000001;12057.811904761906;84.0;3287344.4999999995;13584.06818181818;242.0;0.6659810843724518;
69;73;2564580.1000000024;7007.049453551919;366.0;6061.0;;194.47419354838706;;;14.600000000000016;;11641.018518518518;58.0;;62.0;;;57.0;;189.0;10259.764843749996;;5257.689915966387;128.0;;238.0;503657.19999999984;6627.06842105263;76.0;1493076.7000000002;6756.003167420816;221.0;1.0146605423264434;0.9419400724359089
70;75;1085885.4999999995;5050.630232558137;215.0;3369.0;;101.63749999999999;;;14.60000000000001;;9231.009615384615;36.0;;40.0;;;35.0;;104.0;6775.493902439024;;3987.180451127817;82.0;;133.0;331063.6;5093.286153846154;65.0;995797.5999999995;4929.691089108908;202.0;0.9895622730571538;3.713657439012343
71;76;580225.4999999997;3559.665644171777;163.0;5208.0;;118.86774193548388;;;14.600000000000005;;5513.227848101265;27.0;;31.0;;;26.0;;79.0;4108.6287671232885;;3114.3955555555567;73.0;;90.0;213197.30000000002;3331.2078125000003;64.0;580225.4999999997;3559.665644171777;163.0;0.876189415481378;
72;77;927946.6999999995;8922.564423076918;104.0;;;102.708;;;14.6;;15679.440677966102;;;25.0;;;20.0;;59.0;9108.513461538461;11353.0;8518.58333333333;52.0;4.0;48.0;455547.39999999985;9110.947999999997;50.0;927946.6999999995;8922.564423076918;104.0;1.0222832311829695;
73;78;2469475.5000000037;6364.627577319598;388.0;9039.0;;158.0136363636364;;;14.600000000000016;;9533.885;61.0;;66.0;;;61.0;;200.0;9297.123357664235;;4764.022310756972;137.0;;251.0;445366.29999999993;6362.375714285713;70.0;1349414.1000000003;6276.344651162793;215.0;0.9891880714525906;0.9730474234896382
74;79;191741.9000000001;1843.6721153846165;104.0;2788.0;;79.61428571428573;;4182.0;14.6;;1569.4117647058824;21.0;;21.0;;25.0;20.0;;17.0;2272.8063829787234;;1489.824561403509;47.0;;57.0;102426.50000000001;1796.9561403508774;57.0;191741.9000000001;1843.6721153846165;104.0;1.2116689971064694;
75;80;243699.10000000015;1384.653977272728;176.0;;;82.36285714285717;;;14.600000000000009;;2245.9813084112147;;;35.0;;;34.0;;107.0;1806.9959999999999;;1071.0336633663371;75.0;;101.0;79762.0;1351.8983050847457;59.0;232665.10000000012;1352.7040697674427;172.0;1.0294554193480108;7.021914083741164
76;81;235062.60000000018;1083.237788018434;217.0;1765.0;229.0;107.48965517241378;;;14.600000000000003;;1582.3826086956522;25.0;24.0;29.0;;;24.0;;115.0;1834.502702702703;;694.4713286713288;74.0;;143.0;103347.2;1043.911111111111;99.0;235062.60000000018;1083.237788018434;217.0;1.139339418794373;
77;82;4840822.300000001;14580.790060240966;332.0;;;228.20892857142857;;;14.600000000000014;;21454.65777777778;;;56.0;;;51.0;;225.0;17099.831250000003;12959.333333333334;12599.655900621128;144.0;27.0;161.0;1368278.0;16289.02380952381;84.0;3761739.9000000022;16144.80643776825;233.0;1.3784673549946498;1.5399545557362448
78;83;1417958.1000000008;3289.925986078888;431.0;2210.0;;95.21029411764704;;;14.600000000000016;;5377.64406779661;64.0;;68.0;;;63.0;;236.0;4936.042857142859;;2437.8866197183065;147.0;;284.0;232338.60000000003;3182.720547945206;73.0;744995.6999999997;3296.4411504424766;226.0;0.9873266675420671;0.8756207964725252
79;84;2374913.6;11255.514691943128;211.0;12452.0;;170.40555555555554;;;100.0;;17931.770642201835;33.0;;36.0;;;33.0;;109.0;13328.146236559141;10508.888888888889;9548.770642201835;93.0;9.0;109.0;917342.6999999998;11187.106097560974;82.0;2373813.6;11303.874285714286;210.0;1.95316809217383;426.97190909090915
