card_id,disp_id,card_type,card_issued_date
75,457,classic,1670
383,2469,classic,1671
115,638,classic,1671
884,7286,gold,1672
454,2921,classic,1673
688,4472,classic,1673
936,8030,classic,1674
663,4295,classic,1678
637,4094,junior,1678
511,3257,junior,1678
1220,13160,classic,1680
628,4007,classic,1683
718,4660,classic,1684
238,1452,gold,1689
546,3465,gold,1691
660,4265,junior,1691
491,3151,classic,1693
140,798,classic,1694
502,3201,classic,1694
598,3821,classic,1695
355,2267,classic,1700
43,267,classic,1701
610,3894,classic,1701
182,1067,gold,1703
41,256,classic,1703
91,504,junior,1704
252,1529,classic,1705
495,3181,classic,1705
259,1610,classic,1708
187,1140,classic,1710
185,1098,classic,1710
1025,9625,classic,1711
19,130,classic,1712
431,2715,gold,1715
356,2268,classic,1716
767,5204,classic,1717
537,3405,classic,1718
703,4546,classic,1720
671,4345,classic,1720
896,7567,classic,1721
343,2164,classic,1724
279,1791,classic,1724
622,3981,junior,1725
612,3906,classic,1725
206,1243,classic,1725
190,1165,classic,1726
1203,12893,classic,1729
234,1424,classic,1732
30,202,classic,1734
327,2117,classic,1736
49,305,classic,1736
1115,11375,junior,1736
698,4522,gold,1740
874,7127,gold,1740
247,1500,junior,1741
656,4235,classic,1741
436,2759,classic,1742
124,688,classic,1743
633,4078,classic,1745
428,2698,classic,1746
638,4100,gold,1747
153,886,gold,1752
596,3811,classic,1752
664,4316,classic,1755
251,1525,classic,1756
552,3519,classic,1758
9,76,classic,1758
11,79,gold,1758
650,4194,classic,1759
59,365,classic,1760
1016,9525,classic,1761
359,2299,classic,1762
438,2768,classic,1763
94,513,classic,1770
1056,10220,classic,1770
273,1758,classic,1771
947,8366,classic,1772
93,510,classic,1773
762,5132,classic,1774
254,1578,classic,1775
611,3896,classic,1777
648,4188,classic,1782
373,2401,classic,1782
579,3699,classic,1782
555,3544,classic,1783
329,2122,gold,1783
707,4560,classic,1785
51,321,classic,1785
382,2445,gold,1786
472,3056,classic,1788
237,1445,classic,1789
1234,13386,classic,1792
86,490,classic,1792
540,3425,classic,1793
493,3167,classic,1794
532,3382,classic,1794
590,3769,classic,1796
942,8295,classic,1796
33,221,junior,1797
739,4821,classic,1797
45,272,classic,1799
25,158,classic,1800
200,1220,gold,1803
268,1707,gold,1805
507,3245,classic,1805
569,3616,classic,1806
282,1799,gold,1807
536,3404,classic,1807
1022,9606,classic,1807
1105,11237,classic,1807
326,2104,classic,1808
380,2434,classic,1809
723,4699,classic,1809
81,473,classic,1811
521,3310,classic,1811
608,3890,classic,1811
589,3766,junior,1814
281,1795,classic,1816
891,7434,classic,1817
774,5249,classic,1819
566,3606,classic,1819
575,3667,gold,1819
154,887,classic,1822
130,722,classic,1823
434,2739,classic,1824
83,483,classic,1830
593,3787,junior,1831
481,3102,junior,1831
304,1913,classic,1831
149,858,classic,1832
659,4258,classic,1833
517,3291,classic,1834
368,2361,classic,1835
482,3104,junior,1838
689,4473,classic,1840
557,3567,classic,1842
897,7576,classic,1843
803,5727,classic,1844
401,2532,classic,1844
760,5126,classic,1844
274,1759,classic,1846
28,174,junior,1847
904,7672,classic,1847
474,3066,junior,1849
214,1292,classic,1849
55,335,classic,1850
340,2155,classic,1850
724,4701,gold,1852
67,429,junior,1853
236,1440,junior,1854
68,434,classic,1856
348,2203,classic,1858
65,414,classic,1858
1239,13442,junior,1858
165,996,junior,1860
249,1517,classic,1862
246,1492,classic,1864
720,4674,junior,1865
518,3292,gold,1866
459,2958,gold,1867
655,4231,classic,1869
624,3985,junior,1869
398,2522,classic,1870
796,5579,classic,1876
100,562,gold,1877
574,3640,junior,1879
360,2308,classic,1880
391,2493,classic,1880
283,1800,classic,1881
726,4721,classic,1882
132,731,junior,1882
463,2982,classic,1882
21,132,classic,1882
529,3357,classic,1883
946,8359,junior,1884
419,2626,classic,1884
248,1512,classic,1885
215,1296,classic,1886
225,1359,classic,1887
643,4157,classic,1888
844,6567,junior,1888
672,4349,classic,1891
276,1765,classic,1891
1230,13312,classic,1892
599,3824,gold,1892
72,447,classic,1893
1199,12826,classic,1893
48,295,classic,1894
58,358,classic,1895
334,2133,classic,1897
2,19,classic,1897
228,1382,junior,1899
244,1480,classic,1900
1189,12683,classic,1901
198,1211,junior,1902
34,225,classic,1904
535,3395,classic,1906
269,1718,gold,1906
515,3268,classic,1907
290,1833,classic,1908
315,2005,junior,1908
784,5461,classic,1908
63,378,junior,1911
417,2619,classic,1914
619,3958,classic,1916
191,1168,junior,1917
965,8636,classic,1917
444,2815,gold,1918
370,2374,classic,1918
156,906,junior,1922
492,3166,classic,1924
52,326,gold,1925
71,441,classic,1926
775,5253,gold,1926
330,2124,classic,1926
510,3256,classic,1928
170,1020,classic,1931
338,2146,classic,1931
755,5002,classic,1931
451,2888,junior,1931
263,1668,gold,1932
602,3846,junior,1933
498,3186,classic,1933
933,7959,junior,1936
89,497,classic,1937
761,5128,gold,1938
176,1049,classic,1940
1102,11183,classic,1940
109,605,classic,1941
421,2644,classic,1942
918,7796,classic,1942
680,4417,classic,1944
824,6196,classic,1944
448,2864,classic,1944
1194,12781,junior,1945
331,2125,gold,1946
734,4765,classic,1946
235,1438,classic,1947
284,1807,classic,1952
412,2585,classic,1954
64,402,classic,1955
186,1133,gold,1957
458,2951,gold,1959
465,2995,classic,1960
457,2948,junior,1961
456,2929,classic,1961
645,4166,classic,1962
906,7683,gold,1963
756,5012,classic,1963
218,1322,classic,1963
717,4654,classic,1964
8,60,junior,1965
700,4533,junior,1967
757,5013,junior,1967
126,707,classic,1968
358,2287,junior,1968
639,4112,classic,1968
212,1280,classic,1969
415,2609,classic,1970
161,963,classic,1970
207,1244,classic,1970
1216,13097,classic,1971
649,4190,classic,1974
475,3075,gold,1976
586,3756,classic,1976
446,2841,classic,1980
823,6178,classic,1981
644,4165,classic,1981
111,615,classic,1981
469,3026,classic,1983
17,127,classic,1983
558,3568,classic,1983
192,1169,classic,1984
631,4061,junior,1985
317,2015,classic,1986
716,4651,junior,1987
7,56,classic,1987
863,6906,classic,1988
123,679,classic,1988
770,5232,classic,1991
143,816,classic,1991
785,5468,classic,1992
646,4167,classic,1993
160,954,classic,1993
669,4341,classic,1995
101,566,classic,1995
332,2126,classic,1995
362,2320,gold,1997
173,1031,classic,1997
16,116,classic,1999
365,2332,classic,1999
701,4534,classic,2000
80,471,classic,2001
831,6275,classic,2005
354,2265,gold,2006
250,1522,classic,2006
142,810,classic,2007
991,9149,junior,2007
1192,12736,classic,2008
738,4808,junior,2008
627,3994,classic,2011
696,4516,classic,2011
260,1616,classic,2011
768,5223,classic,2012
233,1418,classic,2013
450,2880,classic,2013
440,2782,classic,2013
301,1899,classic,2013
485,3124,classic,2014
567,3611,classic,2014
66,425,classic,2014
1002,9261,classic,2015
453,2911,gold,2018
277,1777,gold,2018
571,3627,junior,2019
687,4471,classic,2020
640,4115,classic,2020
39,254,classic,2020
435,2740,classic,2021
411,2572,classic,2021
548,3501,classic,2022
1167,12335,classic,2024
727,4723,classic,2025
603,3850,classic,2026
496,3183,junior,2027
73,451,junior,2027
146,822,classic,2029
439,2779,classic,2029
613,3913,classic,2029
323,2065,junior,2030
623,3984,classic,2031
530,3360,classic,2031
396,2508,classic,2032
1076,10604,gold,2033
344,2168,classic,2033
525,3337,classic,2033
42,264,junior,2034
740,4823,junior,2034
780,5333,classic,2035
509,3253,gold,2036
308,1938,classic,2036
618,3947,classic,2037
209,1251,classic,2037
1155,12088,classic,2038
95,519,junior,2038
833,6299,classic,2038
319,2038,junior,2039
795,5563,classic,2039
508,3249,classic,2040
78,468,classic,2041
683,4437,classic,2042
32,219,classic,2043
550,3515,classic,2045
1217,13098,junior,2046
1003,9274,classic,2046
179,1059,classic,2047
169,1019,classic,2047
221,1339,classic,2047
684,4457,classic,2048
77,466,classic,2050
581,3721,classic,2050
47,280,classic,2050
386,2478,classic,2051
346,2177,classic,2051
406,2548,classic,2053
951,8392,classic,2053
519,3297,classic,2053
321,2058,gold,2053
128,716,classic,2056
711,4592,classic,2056
538,3414,gold,2057
29,192,classic,2057
834,6301,classic,2058
461,2977,gold,2058
239,1453,gold,2061
395,2502,classic,2061
531,3378,gold,2061
1150,12020,classic,2062
96,528,classic,2063
367,2343,classic,2064
1023,9621,classic,2067
702,4543,classic,2067
405,2542,classic,2068
480,3092,classic,2069
1098,11063,classic,2069
79,469,classic,2070
402,2536,classic,2071
551,3517,classic,2071
425,2662,junior,2072
1195,12787,gold,2072
1154,12070,classic,2073
307,1930,gold,2073
752,4944,junior,2074
134,769,classic,2075
285,1811,gold,2078
544,3448,gold,2078
526,3339,classic,2078
352,2235,classic,2079
328,2121,junior,2080
26,161,classic,2082
141,808,classic,2083
151,861,classic,2084
203,1231,classic,2084
653,4212,classic,2084
880,7186,classic,2085
620,3959,classic,2085
630,4019,classic,2086
1188,12678,classic,2087
389,2489,gold,2087
1024,9622,classic,2088
193,1179,gold,2089
758,5016,classic,2089
634,4081,junior,2090
361,2312,classic,2091
242,1473,classic,2092
923,7855,classic,2092
1007,9333,gold,2093
520,3308,classic,2093
629,4018,junior,2093
335,2137,classic,2093
414,2606,classic,2094
36,236,classic,2096
561,3581,gold,2096
291,1836,classic,2097
231,1390,junior,2097
782,5376,classic,2097
180,1062,classic,2097
765,5175,classic,2097
357,2277,junior,2097
554,3535,classic,2097
956,8502,classic,2098
676,4380,classic,2098
255,1579,gold,2099
1193,12743,classic,2099
416,2616,classic,2099
585,3753,gold,2099
744,4863,classic,2100
23,146,classic,2101
394,2501,classic,2103
460,2971,classic,2103
35,231,classic,2105
447,2845,classic,2105
264,1669,classic,2105
245,1483,classic,2106
505,3233,junior,2107
336,2138,junior,2107
366,2335,classic,2107
533,3384,classic,2107
288,1826,classic,2108
754,4976,junior,2108
116,646,classic,2109
1035,9732,classic,2109
682,4429,classic,2109
792,5526,classic,2109
385,2476,classic,2110
53,333,classic,2111
751,4941,junior,2113
614,3938,junior,2114
957,8506,junior,2114
1,9,gold,2114
743,4862,gold,2116
61,374,classic,2116
60,370,classic,2116
74,453,classic,2116
749,4929,classic,2117
339,2154,classic,2117
769,5224,classic,2118
488,3134,gold,2118
31,208,classic,2119
542,3439,classic,2120
750,4937,classic,2122
855,6764,classic,2122
299,1886,classic,2123
158,928,gold,2123
857,6789,junior,2123
230,1388,gold,2123
295,1864,classic,2124
584,3751,classic,2126
449,2865,classic,2126
351,2232,classic,2130
138,791,classic,2131
524,3333,classic,2131
693,4495,junior,2132
604,3858,classic,2133
746,4901,classic,2133
333,2128,classic,2133
129,719,classic,2134
429,2709,classic,2134
424,2659,classic,2135
345,2175,classic,2136
1165,12291,classic,2137
1070,10490,junior,2137
217,1316,classic,2138
636,4091,junior,2138
820,6039,classic,2139
46,273,classic,2139
742,4833,classic,2139
404,2540,junior,2141
102,575,classic,2141
455,2924,classic,2142
253,1536,gold,2143
570,3620,classic,2143
27,167,junior,2144
580,3713,classic,2145
409,2562,classic,2145
205,1242,classic,2145
773,5245,classic,2147
487,3130,classic,2147
177,1056,classic,2148
632,4069,classic,2148
445,2820,gold,2148
1001,9247,classic,2149
257,1589,classic,2149
178,1057,classic,2150
704,4553,gold,2150
56,339,classic,2151
148,834,classic,2151
392,2496,classic,2151
523,3319,junior,2152
1175,12494,classic,2153
466,2998,classic,2154
500,3192,classic,2155
4,42,classic,2155
388,2488,junior,2155
164,992,classic,2158
489,3135,classic,2158
626,3992,classic,2159
1169,12354,classic,2159
1137,11771,gold,2160
677,4382,junior,2160
20,131,classic,2161
657,4246,junior,2161
219,1329,classic,2163
819,5978,gold,2165
1177,12535,gold,2165
341,2156,gold,2165
692,4493,classic,2167
715,4639,junior,2167
131,725,classic,2167
201,1223,classic,2167
605,3874,classic,2170
306,1929,classic,2170
378,2430,classic,2170
549,3504,classic,2171
371,2388,gold,2172
147,826,junior,2172
527,3348,junior,2173
172,1030,classic,2173
886,7325,classic,2174
479,3085,classic,2175
691,4492,classic,2175
560,3577,classic,2176
452,2910,classic,2178
506,3236,gold,2178
735,4772,classic,2178
654,4230,classic,2180
196,1197,classic,2181
473,3063,classic,2181
829,6255,classic,2181
310,1947,junior,2182
76,464,classic,2182
573,3638,classic,2182
240,1459,classic,2182
728,4725,classic,2183
924,7862,classic,2183
486,3128,gold,2184
1081,10696,classic,2184
753,4974,classic,2184
442,2796,classic,2185
125,694,gold,2185
674,4360,classic,2187
322,2063,classic,2187
685,4467,classic,2188
635,4083,classic,2188
